feature_set,held_out_family,n_test,accuracy,balanced_accuracy
length_only,instruction_following,3216,0.1470771144278607,0.1470771144278607
length_only,mcq_agieval,22032,0.3083242556281772,0.30832425562817717
length_only,mcq_ceval,8070,0.1667905824039653,0.1667905824039653
length_only,mcq_mmlu,24198,0.3370939747086536,0.33709397470865365
surface,instruction_following,3216,0.19465174129353233,0.19465174129353233
surface,mcq_agieval,22032,0.48461328976034856,0.4846132897603486
surface,mcq_ceval,8070,0.18636926889714994,0.18636926889714991
surface,mcq_mmlu,24198,0.522687825440119,0.5226878254401192
policy,instruction_following,3216,0.17568407960199006,0.17568407960199003
policy,mcq_agieval,22032,0.37772331154684097,0.37772331154684097
policy,mcq_ceval,8070,0.16703841387856258,0.16703841387856258
policy,mcq_mmlu,24198,0.40218199851227376,0.4021819985122737
surface_plus_policy,instruction_following,3216,0.19745024875621892,0.1974502487562189
surface_plus_policy,mcq_agieval,22032,0.5476579520697168,0.5476579520697168
surface_plus_policy,mcq_ceval,8070,0.1654275092936803,0.1654275092936803
surface_plus_policy,mcq_mmlu,24198,0.5767832052235722,0.5767832052235722
