feature,icc3_1,mean_pairwise_spearman,task_count
hedge_rate,0.5625256005973318,0.4942588853226491,4
emoji_rate,0.4475863613116507,0.7226450250273597,4
answer_reveal_rate,0.43139787397981083,0.5098262287447036,4
numbered_step_rate,0.36752042218515113,0.7142857142857144,4
markdown_heading_rate,0.35431856187346883,0.13457792655077336,4
table_present,0.34048774970405227,0.580952380952381,4
explanation_rate,0.3310763618988936,0.2051615248423828,4
first_plural_rate,0.31596951671294177,0.34375988270968394,4
bullet_rate,0.3113834449871705,0.006792933169400374,4
latex_rate,0.29661492295806813,0.38065447954162807,4
imperative_rate,0.29526486368699323,0.396072341660483,4
ends_question,0.2847421172638272,0.7510263693547284,4
question_rate,0.275021166275919,0.34791191472036487,4
sentence_count,0.2723934045027208,0.3247032280417825,4
line_count,0.21598765414039298,0.33540960758832106,4
diagnosis_rate,0.20641077992383233,0.030096692118011376,4
mean_sentence_tokens,0.15624161650374582,0.3706638455413827,4
second_person_rate,0.10486610402414259,0.04563131283312305,4
log_tokens,0.037309944744863745,0.030969635136568193,4
log_chars,-0.012767413133503285,0.05540484376288277,4
exactly_one_question,-0.03901937291873237,0.0035606051660358093,4
history_reference_rate,-0.061090954293243696,-0.036107503309313525,4
praise_rate,-0.1928368452553173,-0.2144321478363729,4
encouragement_rate,-0.19734401787120534,-0.14285714285714285,4
