model,context_group,items,attack_success_rate,boundary_enforcement_rate,educational_refusal_share
minimax-m3,Academic Misconduct (AM),125,0.0,1.0,0.696
minimax-m3,Arts and Psychological (AP),169,0.0237,0.9763,0.8061
minimax-m3,Health Risk (HR),169,0.0888,0.9112,0.7922
minimax-m3,Political and Ideological (PI),169,0.0118,0.9882,0.8383
minimax-m3,Technology and Security (TS),169,0.0414,0.9586,0.9506
minimax-m2.7,Academic Misconduct (AM),118,0.0085,0.9915,0.265
minimax-m2.7,Arts and Psychological (AP),169,0.0296,0.9704,0.5061
minimax-m2.7,Health Risk (HR),168,0.0476,0.9524,0.375
minimax-m2.7,Political and Ideological (PI),159,0.0377,0.9623,0.4641
minimax-m2.7,Technology and Security (TS),162,0.0062,0.9938,0.3416
glm-5.2,Academic Misconduct (AM),124,0.0323,0.9677,0.3667
glm-5.2,Arts and Psychological (AP),169,0.2071,0.7928999999999999,0.5522
glm-5.2,Health Risk (HR),169,0.3432,0.6568,0.5586
glm-5.2,Political and Ideological (PI),169,0.1893,0.8107,0.4818
glm-5.2,Technology and Security (TS),169,0.2189,0.7811,0.5985
deepseek-v4-pro,Academic Misconduct (AM),125,0.072,0.928,0.1724
deepseek-v4-pro,Arts and Psychological (AP),168,0.6012,0.39880000000000004,0.5522
deepseek-v4-pro,Health Risk (HR),169,0.7396,0.26039999999999996,0.6364
deepseek-v4-pro,Political and Ideological (PI),168,0.6369,0.3631,0.6557
deepseek-v4-pro,Technology and Security (TS),169,0.6746,0.3254,0.8727
doubao-seed-2.0-pro,Academic Misconduct (AM),124,0.1371,0.8629,0.215
doubao-seed-2.0-pro,Arts and Psychological (AP),166,0.6024,0.39759999999999995,0.5758
doubao-seed-2.0-pro,Health Risk (HR),169,0.6272,0.3728,0.7778
doubao-seed-2.0-pro,Political and Ideological (PI),168,0.4524,0.5476,0.75
doubao-seed-2.0-pro,Technology and Security (TS),169,0.6391,0.3609,0.8033
qwen3.5-4b,Academic Misconduct (AM),125,0.032,0.968,0.2231
qwen3.5-4b,Arts and Psychological (AP),169,0.0947,0.9053,0.7974
qwen3.5-4b,Health Risk (HR),169,0.1893,0.8107,0.7591
qwen3.5-4b,Political and Ideological (PI),168,0.0655,0.9345,0.8089
qwen3.5-4b,Technology and Security (TS),169,0.1183,0.8817,0.8859
