feature,icc3_1,mean_pairwise_spearman,task_count
mean_sentence_tokens,0.6453264725866372,0.6190476190476191,6
explanation_rate,0.5461451057449787,0.6208691578295223,6
first_plural_rate,0.48380073804044715,0.6076190476190477,6
hedge_rate,0.4744036572612943,0.523809523809524,6
log_chars,0.4700374334344807,0.5276190476190478,6
emoji_rate,0.3971807061216856,0.7963874423631195,6
latex_rate,0.37259451465990084,0.4476190476190477,6
ends_question,0.36612542737818693,0.3906061937848306,6
question_rate,0.36554486465391917,0.2838095238095238,6
sentence_count,0.29286067740969696,0.7295238095238097,6
praise_rate,0.28183612299134836,0.22666666666666668,6
imperative_rate,0.22964404808885266,0.024761904761904763,6
log_tokens,0.22200873520924264,0.31047619047619057,6
history_reference_rate,0.16135350689892147,0.4133333333333333,6
second_person_rate,0.1423191838751548,0.38666666666666666,6
exactly_one_question,0.1395278468807663,-0.02446021325466337,6
numbered_step_rate,0.0922252978840917,0.5726484668187634,6
answer_reveal_rate,0.0837127225889837,0.260952380952381,6
line_count,0.023207214145881408,0.7218055346808945,6
table_present,0.01574993874500616,0.39852669849304295,6
bullet_rate,0.0063160537061630415,0.3718678720805473,6
markdown_heading_rate,0.0,,6
encouragement_rate,-0.06640168982472076,-0.05714285714285713,6
diagnosis_rate,-0.1317543859458664,-0.11380519444736673,6
