model,benchmark,log_chars,log_tokens,line_count,sentence_count,mean_sentence_tokens,markdown_heading_rate,bullet_rate,numbered_step_rate,latex_rate,emoji_rate,table_present,question_rate,ends_question,exactly_one_question,second_person_rate,first_plural_rate,praise_rate,encouragement_rate,hedge_rate,imperative_rate,history_reference_rate,answer_reveal_rate,explanation_rate,diagnosis_rate
deepseek-v4-pro,longtutor_teaching,-0.6631587704115843,-0.04704301598849307,-0.5626419797984938,-0.15230135416862725,0.02510991408765348,-0.4501835940827647,-0.34936587655669493,-0.6064800991778673,-0.5388424879639591,-0.3178495739948809,-0.2595763345274318,-0.0977621216402746,-0.12023809323810608,0.0986213981506739,0.2728326545646599,0.013297681054793939,0.006147834260481239,0.40929011956281036,0.6688994774451275,-0.05288707830272256,0.12518591850219354,-0.13519410023531547,0.0467230816048469,0.047216523393725465
deepseek-v4-pro,mathtutorbench_pedagogy,-0.7259847577784261,-0.6708380900740358,-0.023691315600831177,-0.0615433021210914,-0.28095345493617463,0.0,0.0,-0.013186653809414691,0.14371429662515992,-0.06601908775254951,0.0,0.4448993591690975,-0.12007403659045723,-0.07311344405254243,0.07040899239464625,0.2779886692234996,-0.2819376957491281,-0.06862760448733539,0.21772090655326184,-0.04186265530956769,-0.0931036541188793,-0.09191366433646839,-0.1936075253412844,-0.046819585624878084
deepseek-v4-pro,mathtutorbench_pedagogy_hard,-0.6009622524743745,-0.5667244232125418,-0.029107578648618956,-0.025018777578797394,-0.3473970739361042,0.0,0.0,-0.024724665048817027,0.02840232561690834,-0.05117949881174169,0.0,0.47744130635378823,-0.10851907028176659,-0.03575405605332431,-0.0027592592953186506,0.08946202920296123,-0.27621027010323745,-0.025939141835359225,0.04795860891509086,-0.01605168807438733,-0.06945763358717362,-0.11899932004454232,-0.2348229577919214,0.018721798673726087
deepseek-v4-pro,mathtutorbench_scaffolding,-0.5409585481946828,-0.4907076647683389,-0.014430965292243393,-0.015486099490173488,-0.3309384525020645,0.0,0.0,-0.018170467109930175,-0.1287862312175526,-0.07296556518529583,0.0,0.45111486547136365,0.2535856685400265,0.28573026049138434,0.14799767585249823,0.02005820086205101,-0.39906037764173974,-0.024788378589861576,0.41146089431681676,0.19017994285471937,-0.05879873464856319,-0.07126455831042763,-0.21526081193272892,-0.05208568013724609
deepseek-v4-pro,mathtutorbench_scaffolding_hard,-0.608814043152835,-0.5617181795994772,-0.028186290328591088,-0.03604559448752306,-0.45208358999162657,0.0,0.0,-0.024724665048817027,-0.012039064139731595,-0.07040412717702914,0.0,0.3258463694192489,0.15115019364052423,0.1393519514906418,0.022283759478411647,-0.02386679842170675,-0.3082193241073478,-0.00616165085936117,0.24271794511991784,0.12580191204085298,-0.07938799813578734,-0.07712803292752317,-0.15295998999960805,-0.0708862247502895
deepseek-v4-pro,mathtutorbench_socratic,-0.5305568540293613,-0.537920803093437,-0.032793612440208224,-0.25603011184009095,-0.3108812086256717,0.0,-0.01714314424281921,-0.01737470060762207,-0.005050816134539449,0.0,-0.012313036304042645,0.37244887498499246,0.10749746984567565,-0.04439528375087536,0.011178437688905961,-0.06479260587834097,-0.028303038099083896,0.0,0.03801810293037158,-0.016469214794146977,-0.0038361375436369674,-0.03820430189569737,-0.035195143965906076,-0.012313036304042645
doubao-seed-2.0-pro,longtutor_teaching,0.5104055025984204,-0.6909870012617918,-0.6662636477160827,-0.34316199999726077,0.14907386237571033,-0.2673348746366549,-0.5804004274983112,0.5157443872685181,-0.4915316198591358,-0.09144773060750627,-0.25472444042411535,0.17161561006798162,0.13999149427008073,0.11975455489724686,0.8453137834222476,1.488680598840057,0.9305210804463524,-0.04496966745997953,-0.3688611384200632,0.005574598623614079,0.14873165282143389,0.3185685788369384,-0.16712878880993942,-0.19287517908471352
doubao-seed-2.0-pro,mathtutorbench_pedagogy,0.26233776873198633,0.23704057409118154,-0.0032628758013120806,-0.08978081721194511,0.22316439584839506,0.0,0.0,-0.013186653809414691,-0.22822203787652978,-0.06601908775254951,0.0,-0.18930471546465544,0.26158986542921037,0.2854603163442742,-0.20237870738489813,0.1050904250034648,0.28434666338666303,-0.03415811384921143,-0.32353766528569805,0.1055065665165331,0.01601557037599631,0.01314282850825725,-0.06815986483374657,0.03012786160153306
doubao-seed-2.0-pro,mathtutorbench_pedagogy_hard,0.31469352448408905,0.31065766915985904,-0.021472803921112348,-0.08310257276173408,0.6091792568663502,0.0,0.0,-0.024724665048817027,-0.20230897349558993,-0.05117949881174169,0.0,-0.19977020126959716,0.2712976757044163,0.2040084374807326,-0.22114067066631318,0.3164025260217494,0.14837633826881333,0.02345736692312832,-0.27432821906804766,0.13332849342559425,0.08959997400047413,0.05374469025528739,-0.19544142535644413,0.06092160149390319
doubao-seed-2.0-pro,mathtutorbench_scaffolding,0.9811801401946444,0.9509368906046136,-0.01432494187376977,-0.015696536248367785,0.9397378920216977,0.0,0.0,-0.018170467109930175,-0.28465045781118753,-0.07296556518529583,0.0,-0.24121602207673243,-0.1104908984352972,-0.13819923952227145,-0.40744496135397135,0.5337977601051563,0.2825359653313238,-0.05694161907097104,-0.20951081500573462,-0.37102571078915936,0.05968888532827713,-0.11864635819389246,-0.269859800104515,0.034705287341714616
