classifier_variant,family,target_act,context_count,model_count,generic_match,pedagogy_match,mean_delta,context_cluster_ci_low,context_cluster_ci_high
char_svm,hard,generic,1,9,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111
char_svm,hard,probing,265,9,0.18071278825995807,0.36058700209643607,0.17987421383647798,0.15471698113207547,0.20545073375262055
char_svm,standard,focus,469,9,0.4619758351101635,0.5422885572139303,0.08031272210376687,0.05708955223880597,0.10400379057095475
char_svm,standard,generic,77,9,0.15295815295815296,0.17893217893217894,0.025974025974025976,-0.005772005772005772,0.05627705627705629
char_svm,standard,probing,410,9,0.22303523035230352,0.42872628726287265,0.2056910569105691,0.18373983739837396,0.2287262872628726
char_svm,standard,telling,48,9,0.41435185185185186,0.125,-0.28935185185185186,-0.3680555555555555,-0.20833333333333334
hybrid_svm,hard,generic,1,9,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0
hybrid_svm,hard,probing,265,9,0.16729559748427672,0.3366876310272537,0.16939203354297694,0.14423480083857446,0.19622641509433963
hybrid_svm,standard,focus,469,9,0.46363420990286663,0.5787728026533997,0.11513859275053305,0.09121061359867332,0.13859275053304904
hybrid_svm,standard,generic,77,9,0.15007215007215008,0.1774891774891775,0.027417027417027416,-0.0014430014430014421,0.05627705627705629
hybrid_svm,standard,probing,410,9,0.2105691056910569,0.3897018970189702,0.17913279132791327,0.15853658536585366,0.2008130081300813
hybrid_svm,standard,telling,48,9,0.44212962962962965,0.125,-0.31712962962962965,-0.38888888888888884,-0.24537037037037035
word_svm,hard,generic,1,9,0.1111111111111111,0.0,-0.1111111111111111,-0.1111111111111111,-0.1111111111111111
word_svm,hard,probing,265,9,0.1811320754716981,0.3270440251572327,0.1459119496855346,0.12033542976939203,0.17274633123689728
word_svm,standard,focus,469,9,0.49869699123430467,0.5880123193556029,0.08931532812129828,0.06633499170812604,0.11087420042643922
word_svm,standard,generic,77,9,0.13564213564213565,0.18037518037518038,0.044733044733044736,0.015873015873015876,0.07215007215007214
word_svm,standard,probing,410,9,0.22655826558265582,0.37073170731707317,0.14417344173441735,0.12168021680216802,0.16666666666666669
word_svm,standard,telling,48,9,0.39351851851851855,0.1111111111111111,-0.2824074074074074,-0.34953703703703703,-0.21990740740740744
