classifier_variant,family,target_act,model,context_count,generic_match,pedagogy_match,mean_delta,context_bootstrap_ci_low,context_bootstrap_ci_high
char_svm,hard,generic,deepseek-v4-flash,1,0.0,0.0,0.0,0.0,0.0
char_svm,hard,generic,deepseek-v4-pro,1,0.0,0.0,0.0,0.0,0.0
char_svm,hard,generic,doubao-seed-2.0-lite,1,1.0,0.0,-1.0,-1.0,-1.0
char_svm,hard,generic,doubao-seed-2.0-pro,1,0.0,0.0,0.0,0.0,0.0
char_svm,hard,generic,glm-5.2,1,0.0,1.0,1.0,1.0,1.0
char_svm,hard,generic,minimax-m2.7,1,0.0,0.0,0.0,0.0,0.0
char_svm,hard,generic,minimax-m3,1,0.0,0.0,0.0,0.0,0.0
char_svm,hard,generic,qwen3.5-4b,1,0.0,1.0,1.0,1.0,1.0
char_svm,hard,generic,qwen3.8-27b,1,0.0,0.0,0.0,0.0,0.0
char_svm,hard,probing,deepseek-v4-flash,265,0.1471698113207547,0.33584905660377357,0.18867924528301888,0.1169811320754717,0.26037735849056604
char_svm,hard,probing,deepseek-v4-pro,265,0.18490566037735848,0.41132075471698115,0.22641509433962265,0.16226415094339622,0.2943396226415094
char_svm,hard,probing,doubao-seed-2.0-lite,265,0.2188679245283019,0.35094339622641507,0.1320754716981132,0.06037735849056604,0.2
char_svm,hard,probing,doubao-seed-2.0-pro,265,0.1660377358490566,0.3320754716981132,0.1660377358490566,0.09811320754716982,0.2339622641509434
char_svm,hard,probing,glm-5.2,265,0.3018867924528302,0.42641509433962266,0.12452830188679245,0.05660377358490566,0.19245283018867926
char_svm,hard,probing,minimax-m2.7,265,0.1169811320754717,0.36981132075471695,0.2528301886792453,0.1811320754716981,0.3208490566037739
char_svm,hard,probing,minimax-m3,265,0.1660377358490566,0.42641509433962266,0.26037735849056604,0.1923584905660378,0.3320754716981132
char_svm,hard,probing,qwen3.5-4b,265,0.19245283018867926,0.2830188679245283,0.09056603773584905,0.026415094339622643,0.15471698113207547
char_svm,hard,probing,qwen3.8-27b,265,0.1320754716981132,0.30943396226415093,0.17735849056603772,0.11320754716981132,0.24150943396226415
char_svm,standard,focus,deepseek-v4-flash,469,0.44349680170575695,0.464818763326226,0.021321961620469083,-0.03843283582089551,0.07889125799573561
char_svm,standard,focus,deepseek-v4-pro,469,0.47547974413646055,0.5927505330490405,0.11727078891257996,0.05543710021321962,0.17697228144989338
char_svm,standard,focus,doubao-seed-2.0-lite,469,0.5373134328358209,0.582089552238806,0.04477611940298507,-0.010660980810234541,0.10021321961620469
char_svm,standard,focus,doubao-seed-2.0-pro,469,0.5863539445628998,0.6162046908315565,0.029850746268656716,-0.02771855010660981,0.08742004264392324
char_svm,standard,focus,glm-5.2,469,0.5287846481876333,0.509594882729211,-0.019189765458422176,-0.0767590618336887,0.03837953091684435
