classifier_variant,family,target_act,model_count,positive_models,negative_models,zero_models,minimum_model_delta,maximum_model_delta
char_svm,hard,generic,9,2,1,6,-1.0,1.0
char_svm,hard,probing,9,9,0,0,0.09056603773584905,0.26037735849056604
char_svm,standard,focus,9,8,1,0,-0.019189765458422176,0.21535181236673773
char_svm,standard,generic,9,5,3,1,-0.07792207792207792,0.1038961038961039
char_svm,standard,probing,9,9,0,0,0.14146341463414633,0.2975609756097561
char_svm,standard,telling,9,0,9,0,-0.5416666666666666,-0.14583333333333334
hybrid_svm,hard,generic,9,1,1,7,-1.0,1.0
hybrid_svm,hard,probing,9,9,0,0,0.10566037735849057,0.26037735849056604
hybrid_svm,standard,focus,9,9,0,0,0.031982942430703626,0.2281449893390192
hybrid_svm,standard,generic,9,7,1,1,-0.1038961038961039,0.1038961038961039
hybrid_svm,standard,probing,9,9,0,0,0.12439024390243902,0.23658536585365852
hybrid_svm,standard,telling,9,0,9,0,-0.5,-0.25
word_svm,hard,generic,9,0,1,8,-1.0,0.0
word_svm,hard,probing,9,9,0,0,0.1018867924528302,0.18490566037735848
word_svm,standard,focus,9,9,0,0,0.031982942430703626,0.20042643923240938
word_svm,standard,generic,9,6,2,1,-0.05194805194805195,0.14285714285714285
word_svm,standard,probing,9,9,0,0,0.0975609756097561,0.17804878048780487
word_svm,standard,telling,9,0,9,0,-0.4791666666666667,-0.16666666666666666
