train_arm,test_arm,train_task,test_task,train_responses,test_responses,feature_count,model_count,chance_accuracy,accuracy,balanced_accuracy,bootstrap_ci_low,bootstrap_ci_high
generic,pedagogy,ALL,ALL,714,714,8,6,0.16666666666666666,0.3011204481792717,0.30112044817927175,0.26353276353276356,0.3347578347578347
generic,pedagogy,mathdial_standard,mathdial_standard,474,474,8,6,0.16666666666666666,0.30168776371308015,0.3016877637130802,0.25949367088607594,0.3438818565400844
generic,pedagogy,mathdial_hard,mathdial_hard,240,240,8,6,0.16666666666666666,0.2625,0.2625,0.20416666666666666,0.31666666666666665
generic,pedagogy,mathdial_standard,mathdial_hard,474,240,8,6,0.16666666666666666,0.275,0.27499999999999997,0.225,0.325
generic,pedagogy,mathdial_hard,mathdial_standard,240,474,8,6,0.16666666666666666,0.29957805907172996,0.2995780590717299,0.2573839662447257,0.34388185654008435
pedagogy,generic,ALL,ALL,714,714,8,6,0.16666666666666666,0.2969187675070028,0.2969187675070028,0.26638176638176636,0.32621082621082614
pedagogy,generic,mathdial_standard,mathdial_standard,474,474,8,6,0.16666666666666666,0.29535864978902954,0.29535864978902954,0.2552215189873417,0.3354430379746836
pedagogy,generic,mathdial_hard,mathdial_hard,240,240,8,6,0.16666666666666666,0.275,0.27499999999999997,0.225,0.325
pedagogy,generic,mathdial_standard,mathdial_hard,474,240,8,6,0.16666666666666666,0.2625,0.2625,0.21666666666666665,0.3083333333333333
pedagogy,generic,mathdial_hard,mathdial_standard,240,474,8,6,0.16666666666666666,0.2805907172995781,0.2805907172995781,0.24261603375527424,0.32489451476793246
