task,dimension,direction,available_contexts,complete_nonboundary_contexts,retained_context_fraction,sd_model_mean_adjusted_elasticity,sd_bootstrap_ci_low,sd_bootstrap_ci_high,max_minus_min_adjusted_elasticity,range_bootstrap_ci_low,range_bootstrap_ci_high,permutation_p,permutations,permutation_q_within_task
mathdial_hard,affective_warmth,decrease,40,18,0.45,0.1628598304644385,0.07693204988876386,0.3948622196617794,0.46296296296296297,0.2222222222222222,1.1204861111111097,0.4389122175564887,5000,0.7022595480903819
mathdial_hard,autonomy_support,increase,40,36,0.9,0.21498061540431723,0.13609134533123313,0.31564779781792096,0.6087962962962963,0.4050925925925926,0.9189814814814816,0.0001999600079984003,5000,0.0015996800639872025
mathdial_hard,cognitive_load,decrease,40,16,0.4,0.10571762046971062,0.06696979695133995,0.23576633602948302,0.28125,0.1875,0.6875,0.4351129774045191,5000,0.7022595480903819
mathdial_hard,diagnostic_specificity,decrease,40,21,0.525,0.07052882268131365,0.04948617622267505,0.20692215941354092,0.21825396825396826,0.1427579365079365,0.6309523809523809,0.8324335132973405,5000,0.9650069986002799
mathdial_hard,elicitation,increase,40,19,0.475,0.1674088328456098,0.1303437071127788,0.23209550359125655,0.44736842105263164,0.3421052631578948,0.6359649122807018,0.0003999200159968006,5000,0.0015996800639872025
mathdial_hard,epistemic_caution,increase,40,40,1.0,0.020755061297053415,0.01548130286431694,0.09282549541762826,0.056249999999999994,0.04375,0.275,0.9650069986002799,5000,0.9650069986002799
mathdial_hard,help_directness,decrease,40,31,0.775,0.12771332205313593,0.07572443341324424,0.22085908403836585,0.40591397849462363,0.22305107526881715,0.6693548387096774,0.0057988402319536095,5000,0.015463573951876293
mathdial_hard,personalization,increase,40,38,0.95,0.01850729371516398,0.012766264032582589,0.0666617969643642,0.05701754385964912,0.03508771929824561,0.19298245614035087,0.8998200359928015,5000,0.9650069986002799
mathdial_standard,affective_warmth,decrease,79,50,0.6329113924050633,0.19198865867995535,0.13028209155448187,0.28179156547867157,0.58,0.3783333333333333,0.8433333333333333,0.0001999600079984003,5000,0.0003199360127974405
mathdial_standard,autonomy_support,increase,79,70,0.8860759493670886,0.11493217187551613,0.06998657434343922,0.18553794909392088,0.3595238095238095,0.2059523809523811,0.5619345238095235,0.0007998400319936012,5000,0.0010664533759914684
mathdial_standard,cognitive_load,decrease,79,36,0.45569620253164556,0.18600800995334543,0.1368508298038688,0.25716259668703234,0.5324074074074074,0.38888888888888884,0.7592592592592593,0.0001999600079984003,5000,0.0003199360127974405
mathdial_standard,diagnostic_specificity,decrease,79,53,0.6708860759493671,0.13963841897497442,0.10270471560108886,0.19813454312833353,0.4512578616352201,0.2971698113207547,0.6226415094339623,0.0001999600079984003,5000,0.0003199360127974405
mathdial_standard,elicitation,increase,79,41,0.5189873417721519,0.11331591965019244,0.09128924545726824,0.1481871650311809,0.3597560975609756,0.27235772357723564,0.45731707317073167,0.0001999600079984003,5000,0.0003199360127974405
mathdial_standard,epistemic_caution,increase,79,76,0.9620253164556962,0.04059198415463581,0.03130056225639074,0.07891209502737644,0.12061403508771928,0.08771929824561406,0.24013157894736842,0.22535492901419715,5000,0.22535492901419715
mathdial_standard,help_directness,decrease,79,58,0.7341772151898734,0.12654467560638744,0.09651542396216699,0.17364869026773327,0.42816091954022983,0.3017241379310345,0.5689655172413792,0.0001999600079984003,5000,0.0003199360127974405
mathdial_standard,personalization,increase,79,79,1.0,0.038313395419389974,0.02100490876848793,0.06631653711941983,0.12130801687763715,0.06220991561181435,0.20358649789029531,0.002599480103979204,5000,0.0029708344045476618
