task,dimension,model,direction,complete_nonboundary_contexts,mean_fraction_of_available_headroom,bootstrap_ci_low,bootstrap_ci_high
mathdial_hard,affective_warmth,deepseek-v4-pro,decrease,18,-0.018518518518518528,-0.3240740740740741,0.24999999999999994
mathdial_hard,affective_warmth,doubao-seed-2.0-pro,decrease,18,0.18518518518518517,0.03703703703703704,0.3241898148148132
mathdial_hard,affective_warmth,glm-5.2,decrease,18,0.15740740740740738,-0.1111111111111111,0.40740740740740744
mathdial_hard,affective_warmth,minimax-m2.7,decrease,18,-0.2777777777777778,-0.7685185185185185,0.19444444444444445
mathdial_hard,affective_warmth,minimax-m3,decrease,18,0.1481481481481481,-0.10185185185185186,0.3888888888888889
mathdial_hard,affective_warmth,qwen3.5-4b,decrease,18,-0.06018518518518522,-0.5185185185185186,0.31481481481481477
mathdial_hard,autonomy_support,deepseek-v4-pro,increase,36,0.287037037037037,0.12037037037037039,0.4444444444444444
mathdial_hard,autonomy_support,doubao-seed-2.0-pro,increase,36,0.3819444444444444,0.162037037037037,0.5532407407407407
mathdial_hard,autonomy_support,glm-5.2,increase,36,-0.1921296296296296,-0.4398148148148147,0.048611111111111084
mathdial_hard,autonomy_support,minimax-m2.7,increase,36,0.4166666666666667,0.2986111111111111,0.5069444444444444
mathdial_hard,autonomy_support,minimax-m3,increase,36,0.3958333333333333,0.29861111111111116,0.4930555555555556
mathdial_hard,autonomy_support,qwen3.5-4b,increase,36,0.3888888888888889,0.27083333333333326,0.49537037037037035
mathdial_hard,cognitive_load,deepseek-v4-pro,decrease,16,0.6875,0.40625,0.9375
mathdial_hard,cognitive_load,doubao-seed-2.0-pro,decrease,16,0.6666666666666666,0.46875,0.84375
mathdial_hard,cognitive_load,glm-5.2,decrease,16,0.47916666666666663,0.13541666666666666,0.78125
mathdial_hard,cognitive_load,minimax-m2.7,decrease,16,0.5,0.28125,0.71875
mathdial_hard,cognitive_load,minimax-m3,decrease,16,0.6354166666666666,0.46875,0.7916666666666667
mathdial_hard,cognitive_load,qwen3.5-4b,decrease,16,0.40625,0.21875,0.625
mathdial_hard,diagnostic_specificity,deepseek-v4-pro,decrease,21,0.19047619047619047,-0.09920634920634921,0.42857142857142855
mathdial_hard,diagnostic_specificity,doubao-seed-2.0-pro,decrease,21,0.10714285714285714,-0.10714285714285712,0.30158730158730157
mathdial_hard,diagnostic_specificity,glm-5.2,decrease,21,0.15873015873015872,-0.03968253968253968,0.3531746031746032
mathdial_hard,diagnostic_specificity,minimax-m2.7,decrease,21,0.30158730158730157,0.04761904761904763,0.5436507936507937
mathdial_hard,diagnostic_specificity,minimax-m3,decrease,21,0.14285714285714285,-0.1548611111111111,0.40486111111110973
mathdial_hard,diagnostic_specificity,qwen3.5-4b,decrease,21,0.08333333333333333,-0.14285714285714285,0.30158730158730157
mathdial_hard,elicitation,deepseek-v4-pro,increase,19,0.5789473684210527,0.3157894736842105,0.7894736842105263
mathdial_hard,elicitation,doubao-seed-2.0-pro,increase,19,0.9078947368421053,0.8245614035087719,0.9736842105263158
mathdial_hard,elicitation,glm-5.2,increase,19,0.7763157894736842,0.631578947368421,0.9078947368421053
mathdial_hard,elicitation,minimax-m2.7,increase,19,0.8289473684210527,0.6973684210526315,0.9342105263157895
mathdial_hard,elicitation,minimax-m3,increase,19,0.5175438596491228,0.34210526315789475,0.7017543859649122
mathdial_hard,elicitation,qwen3.5-4b,increase,19,0.4605263157894737,0.3286184210526317,0.5921052631578947
mathdial_hard,epistemic_caution,deepseek-v4-pro,increase,40,0.03333333333333334,-0.04583333333333334,0.1
mathdial_hard,epistemic_caution,doubao-seed-2.0-pro,increase,40,0.0375,-0.05625,0.11875
mathdial_hard,epistemic_caution,glm-5.2,increase,40,0.008333333333333335,-0.06875,0.07708333333333334
mathdial_hard,epistemic_caution,minimax-m2.7,increase,40,-0.01875,-0.2,0.09375
