task,dimension,model,contexts,generic_mean,pedagogy_mean,mean_delta,bootstrap_ci_low,bootstrap_ci_high
mathdial_hard,affective_warmth,deepseek-v4-pro,40,2.325,2.3,-0.025,-0.35,0.3
mathdial_hard,affective_warmth,doubao-seed-2.0-pro,40,3.825,3.0,-0.825,-1.225,-0.425
mathdial_hard,affective_warmth,glm-5.2,40,2.9,2.45,-0.45,-0.8,-0.1
mathdial_hard,affective_warmth,minimax-m2.7,40,2.275,2.625,0.35,-0.05,0.775
mathdial_hard,affective_warmth,minimax-m3,40,2.9,2.7,-0.2,-0.575,0.175
mathdial_hard,affective_warmth,qwen3.5-4b,40,3.175,2.8,-0.375,-0.725,0.025
mathdial_hard,autonomy_support,deepseek-v4-pro,40,1.825,3.125,1.3,0.825,1.775
mathdial_hard,autonomy_support,doubao-seed-2.0-pro,40,1.9,3.5,1.6,1.1,2.075
mathdial_hard,autonomy_support,glm-5.2,40,2.975,3.175,0.2,-0.225,0.625
mathdial_hard,autonomy_support,minimax-m2.7,40,1.475,2.925,1.45,1.05,1.825
mathdial_hard,autonomy_support,minimax-m3,40,1.45,2.9,1.45,1.05,1.825
mathdial_hard,autonomy_support,qwen3.5-4b,40,1.4,2.9,1.5,1.15,1.825624999999991
mathdial_hard,cognitive_load,deepseek-v4-pro,40,2.2,1.4,-0.8,-1.1,-0.475
mathdial_hard,cognitive_load,doubao-seed-2.0-pro,40,2.475,1.425,-1.05,-1.35,-0.725
mathdial_hard,cognitive_load,glm-5.2,40,1.775,1.575,-0.2,-0.475,0.1
mathdial_hard,cognitive_load,minimax-m2.7,40,2.425,1.65,-0.775,-1.075,-0.475
mathdial_hard,cognitive_load,minimax-m3,40,2.625,1.65,-0.975,-1.275,-0.675
mathdial_hard,cognitive_load,qwen3.5-4b,40,2.05,1.525,-0.525,-0.775,-0.275
mathdial_hard,diagnostic_specificity,deepseek-v4-pro,40,3.85,3.1,-0.75,-1.275,-0.225
mathdial_hard,diagnostic_specificity,doubao-seed-2.0-pro,40,3.8,3.0,-0.8,-1.25,-0.35
mathdial_hard,diagnostic_specificity,glm-5.2,40,3.425,3.125,-0.3,-0.7,0.07562499999999091
mathdial_hard,diagnostic_specificity,minimax-m2.7,40,2.925,2.475,-0.45,-0.95,0.05
mathdial_hard,diagnostic_specificity,minimax-m3,40,3.5,3.0,-0.5,-1.0,0.0
mathdial_hard,diagnostic_specificity,qwen3.5-4b,40,3.175,2.975,-0.2,-0.65,0.225
mathdial_hard,elicitation,deepseek-v4-pro,40,2.025,4.125,2.1,1.525,2.65
mathdial_hard,elicitation,doubao-seed-2.0-pro,40,1.85,4.7,2.85,2.375,3.275
mathdial_hard,elicitation,glm-5.2,40,3.45,4.35,0.9,0.375,1.425
mathdial_hard,elicitation,minimax-m2.7,40,1.5,4.175,2.675,2.125,3.2
