task,dimension,contexts,models,sd_model_mean_delta,sd_bootstrap_ci_low,sd_bootstrap_ci_high,max_minus_min_model_delta,range_bootstrap_ci_low,range_bootstrap_ci_high,permutation_p,permutations,permutation_q_within_task
mathdial_hard,affective_warmth,40,6,0.3649819249710259,0.24933940500628635,0.5584110642409108,1.1749999999999998,0.7000000000000001,1.775,0.0023995200959808036,5000,0.003839232153569286
mathdial_hard,autonomy_support,40,6,0.47784237289438175,0.3327286165494462,0.6746600851578034,1.4000000000000001,1.0,2.05,0.0001999600079984003,5000,0.0005332266879957342
mathdial_hard,cognitive_load,40,6,0.2862897231050314,0.20866327948027077,0.4130126204638441,0.8500000000000001,0.5999999999999999,1.2750000000000001,0.0005998800239952009,5000,0.0011997600479904018
mathdial_hard,diagnostic_specificity,40,6,0.2179449471770337,0.14189929812908475,0.46062071261974413,0.6000000000000001,0.4,1.3499999999999999,0.3815236952609478,5000,0.5086982603479304
mathdial_hard,elicitation,40,6,0.6262348911461968,0.4503162411017962,0.8643127084448855,1.9500000000000002,1.3499999999999999,2.625,0.0001999600079984003,5000,0.0005332266879957342
mathdial_hard,epistemic_caution,40,6,0.04947642536265799,0.03930825471690251,0.16164706515593946,0.15,0.10000000000000003,0.475,0.8890221955608878,5000,0.8890221955608878
mathdial_hard,help_directness,40,6,0.486198404860494,0.36496943006701227,0.6731078804422935,1.35,1.0250000000000001,2.0,0.0001999600079984003,5000,0.0005332266879957342
mathdial_hard,personalization,40,6,0.05892556509887896,0.034610932762158646,0.1648336703737707,0.175,0.1,0.5,0.735252949410118,5000,0.8402890850401349
mathdial_standard,affective_warmth,79,6,0.34416648416006385,0.25637381980769186,0.45848558707651527,1.0632911392405062,0.7721518987341772,1.4177215189873418,0.0001999600079984003,5000,0.0002666133439978671
mathdial_standard,autonomy_support,79,6,0.48442420366243494,0.3843271467450341,0.612779955837757,1.4303797468354431,1.1265822784810129,1.8481012658227847,0.0001999600079984003,5000,0.0002666133439978671
mathdial_standard,cognitive_load,79,6,0.2516834310887214,0.1965626084646083,0.33581484978452936,0.759493670886076,0.5569620253164557,1.0129746835442992,0.0001999600079984003,5000,0.0002666133439978671
mathdial_standard,diagnostic_specificity,79,6,0.3240989767033168,0.22882759257075652,0.465383461421029,0.9367088607594937,0.6329113924050633,1.3670886075949367,0.0001999600079984003,5000,0.0002666133439978671
mathdial_standard,elicitation,79,6,0.6220767417793859,0.4984485847604671,0.769107282817206,1.8354430379746838,1.4680379746835444,2.329113924050633,0.0001999600079984003,5000,0.0002666133439978671
mathdial_standard,epistemic_caution,79,6,0.12194384824150571,0.0850396729664548,0.20463264976245218,0.3544303797468355,0.24050632911392406,0.620253164556962,0.033993201359728054,5000,0.033993201359728054
mathdial_standard,help_directness,79,6,0.5355492607925615,0.43209614700026455,0.6610559270296547,1.2531645569620253,1.0632911392405064,1.6835443037974684,0.0001999600079984003,5000,0.0002666133439978671
mathdial_standard,personalization,79,6,0.0875209641885719,0.0529058552692184,0.1459208140573045,0.2911392405063291,0.16455696202531644,0.4810126582278481,0.0021995600879824036,5000,0.0025137829576941757
