dimension,task,null_mse,global_model_mse,task_model_mse,relative_mse_reduction_mean,relative_mse_reduction_split_p05,relative_mse_reduction_split_p95,fraction_splits_improved
affective_warmth,ALL_EQUAL_TASK_WEIGHT,0.6109440928270042,0.49369264903205673,0.4359249365647128,0.11707547709530218,0.08135625644478145,0.141920082202995,1.0
affective_warmth,longtutor,0.7013888888888888,0.5354291161754775,0.4629981057623304,0.13552510273798427,0.06990308796152493,0.1721439371554299,0.99
affective_warmth,mathdial_hard,0.9069444444444444,0.6903539410390781,0.6797132887236937,0.015702839998704397,-0.06051490450717248,0.058205050566625116,0.74
affective_warmth,mathdial_standard,0.8354430379746836,0.6233874629100469,0.6009883517728271,0.03597132483423108,-0.0005675152716565143,0.06147760368911955,0.94
affective_warmth,socratic,0.0,0.12560007600362463,0.0,1.0,1.0,1.0,1.0
autonomy_support,ALL_EQUAL_TASK_WEIGHT,0.7115220639943742,0.5848467513363123,0.5304812560359603,0.0929948768292611,0.053540195494246455,0.11823875541158783,1.0
autonomy_support,longtutor,0.7027777777777778,0.5637326071407717,0.5030035327257757,0.10780302577849468,0.0528788798213738,0.15181312920085216,0.99
autonomy_support,mathdial_hard,1.06875,0.8662956424784659,0.838206221217996,0.03269710064414827,-0.04182975264675727,0.08691353619365232,0.79
autonomy_support,mathdial_standard,0.9926160337552743,0.7318271501588057,0.7013971947329467,0.041686653109230996,-0.001994945789728418,0.06720764053855906,0.94
autonomy_support,socratic,0.08194444444444444,0.17753160556720565,0.07931807546712283,0.5530410296361626,0.5263275131574334,0.5705203892476697,1.0
cognitive_load,ALL_EQUAL_TASK_WEIGHT,0.40871022327707457,0.3483612364624767,0.33924517186317316,0.026182493830483548,-0.005482782855810741,0.047941066056602984,0.93
cognitive_load,longtutor,0.46736111111111106,0.35544424473034114,0.3336368478090835,0.06143504663617725,-0.007484143480284666,0.10351423482930848,0.93
cognitive_load,mathdial_hard,0.4444444444444445,0.4014849695713276,0.3945442983601144,0.017615413275425026,-0.07090311179670841,0.06943769236894949,0.73
cognitive_load,mathdial_standard,0.4261603375527427,0.36431696993578905,0.3652059261167817,-0.002463776640733799,-0.0377231776628925,0.02074339093260293,0.5
cognitive_load,socratic,0.296875,0.27219876161244905,0.26359361516671315,0.03153529035548833,-0.010906168965573858,0.0585226092367473,0.9
diagnostic_specificity,ALL_EQUAL_TASK_WEIGHT,0.6892668776371308,0.6596228824316442,0.6298738641158478,0.04517972656354265,0.0014784823282732954,0.07360346708145399,0.96
diagnostic_specificity,longtutor,1.042361111111111,0.923016271496967,0.8305175394758225,0.10034877339558067,0.038825680329908366,0.1412741484007294,1.0
diagnostic_specificity,mathdial_hard,1.065972222222222,1.0137396098841334,1.0396889850294389,-0.025185839006262964,-0.119556126003507,0.02794379759457985,0.31
diagnostic_specificity,mathdial_standard,0.6487341772151899,0.6591778869241438,0.6492889319581301,0.014964195713946617,-0.02206497221002184,0.039219815608188456,0.78
diagnostic_specificity,socratic,0.0,0.042557761421332864,0.0,1.0,1.0,1.0,1.0
elicitation,ALL_EQUAL_TASK_WEIGHT,1.1140646976090014,0.9038702690465166,0.8011477258603739,0.113704483451246,0.0796002890937582,0.13381061286981574,1.0
elicitation,longtutor,1.1965277777777779,0.9245179033133187,0.8282191779830549,0.10427501824479853,0.047394123671929966,0.14425920887691715,1.0
elicitation,mathdial_hard,1.6701388888888888,1.2883737442324557,1.241804394802391,0.036466223282356616,-0.05641414575238339,0.08659019628551416,0.82
elicitation,mathdial_standard,1.5840365682137836,1.1701920137798403,1.1288891846402682,0.03539540170761575,-0.011315025095104968,0.05790773956380083,0.88
elicitation,socratic,0.005555555555555556,0.23239741486045204,0.005678146015781676,0.9755516294356525,0.9744207365918256,0.9765723404562502,1.0
epistemic_caution,ALL_EQUAL_TASK_WEIGHT,0.16996637658227848,0.1696018825048055,0.17173118895125827,-0.012480500926734724,-0.04792800673917191,0.007607501781734984,0.29
epistemic_caution,longtutor,0.28680555555555554,0.2774651295532051,0.2812677935963006,-0.013356511882730442,-0.09852133804484563,0.03351846160274923,0.47
epistemic_caution,mathdial_hard,0.14097222222222222,0.1461974620594424,0.15095910231703757,-0.032490457518191566,-0.0846843400576402,0.009200669375408525,0.14
epistemic_caution,mathdial_standard,0.25035161744022505,0.24881853939820245,0.25291784648240295,-0.016421785834378567,-0.060089680746201746,0.008756801442238862,0.25
epistemic_caution,socratic,0.001736111111111111,0.00592639900837208,0.001780013409292045,0.6956991745857214,0.6532556869315029,0.7550348357511119,1.0
help_directness,ALL_EQUAL_TASK_WEIGHT,0.689762438466948,0.5708449921721724,0.536056605096316,0.06095638595193687,0.0325442882706853,0.08318367630773406,1.0
help_directness,longtutor,0.5993055555555555,0.45562078843781956,0.44326087809683107,0.027249782393393297,-0.03925044223199357,0.06861514431626224,0.82
help_directness,mathdial_hard,0.9972222222222221,0.804183017126481,0.8100096689553519,-0.0070108923801125165,-0.0882106968714844,0.04173952495361076,0.48
help_directness,mathdial_standard,1.057313642756681,0.808683332203453,0.7843631181803743,0.030130826137762537,-0.011627745211485428,0.056102246703324345,0.87
help_directness,socratic,0.10520833333333332,0.214892830920936,0.10659275515270694,0.5038152190990988,0.4747565915846738,0.5236305758908346,1.0
personalization,ALL_EQUAL_TASK_WEIGHT,0.45414688818565396,0.42542551852530913,0.3738199654435536,0.12157076690325791,0.05867175985826097,0.15424696099579735,0.99
personalization,longtutor,1.4923611111111112,1.312792297376526,1.1768505860047842,0.10390970543467647,0.01920974337353672,0.1541107994473714,0.98
personalization,mathdial_hard,0.15486111111111112,0.17660558642299765,0.15535095034261087,0.12015663364495245,0.06040050426719794,0.1614915385697531,1.0
personalization,mathdial_standard,0.13255977496483826,0.1409982166179037,0.12559968732501095,0.1089356159977844,0.06613777893920028,0.14132324573276725,1.0
personalization,socratic,0.03680555555555556,0.07130597368380917,0.03747863810180825,0.4738487197407592,0.4382242583562462,0.5029089429163863,1.0
