judge,benchmark,success,error,missing,expected,success_rate
MiniMax-M3,longtutor_teaching,40,0,0,40,1.0
MiniMax-M3,mathtutorbench_pedagogy,79,0,0,79,1.0
MiniMax-M3,mathtutorbench_pedagogy_hard,40,0,0,40,1.0
MiniMax-M3,mathtutorbench_scaffolding,79,0,0,79,1.0
MiniMax-M3,mathtutorbench_scaffolding_hard,40,0,0,40,1.0
MiniMax-M3,mathtutorbench_socratic,80,0,0,80,1.0
deepseek-v4-pro,longtutor_teaching,40,0,0,40,1.0
deepseek-v4-pro,mathtutorbench_pedagogy,79,0,0,79,1.0
deepseek-v4-pro,mathtutorbench_pedagogy_hard,40,0,0,40,1.0
deepseek-v4-pro,mathtutorbench_scaffolding,79,0,0,79,1.0
deepseek-v4-pro,mathtutorbench_scaffolding_hard,40,0,0,40,1.0
deepseek-v4-pro,mathtutorbench_socratic,80,0,0,80,1.0
glm-5.2,longtutor_teaching,40,0,0,40,1.0
glm-5.2,mathtutorbench_pedagogy,79,0,0,79,1.0
glm-5.2,mathtutorbench_pedagogy_hard,40,0,0,40,1.0
glm-5.2,mathtutorbench_scaffolding,79,0,0,79,1.0
glm-5.2,mathtutorbench_scaffolding_hard,40,0,0,40,1.0
glm-5.2,mathtutorbench_socratic,80,0,0,80,1.0
