judge,dimension,candidate_position,mean_residual,ratings
MiniMax-M3,affective_warmth,1,-0.18435754189944134,358
MiniMax-M3,affective_warmth,2,-0.19692737430167598,358
MiniMax-M3,affective_warmth,3,-0.12988826815642457,358
MiniMax-M3,affective_warmth,4,-0.18156424581005587,358
MiniMax-M3,affective_warmth,5,-0.02094972067039106,358
MiniMax-M3,affective_warmth,6,-0.17318435754189945,358
MiniMax-M3,autonomy_support,1,0.42877094972067037,358
MiniMax-M3,autonomy_support,2,0.6033519553072626,358
MiniMax-M3,autonomy_support,3,0.5097765363128491,358
MiniMax-M3,autonomy_support,4,0.5251396648044693,358
MiniMax-M3,autonomy_support,5,0.4818435754189944,358
MiniMax-M3,autonomy_support,6,0.473463687150838,358
MiniMax-M3,cognitive_load,1,0.06983240223463687,358
MiniMax-M3,cognitive_load,2,0.1005586592178771,358
MiniMax-M3,cognitive_load,3,0.2164804469273743,358
MiniMax-M3,cognitive_load,4,0.15083798882681565,358
MiniMax-M3,cognitive_load,5,0.19832402234636873,358
MiniMax-M3,cognitive_load,6,0.1871508379888268,358
MiniMax-M3,diagnostic_specificity,1,-0.24860335195530725,358
MiniMax-M3,diagnostic_specificity,2,-0.23184357541899442,358
MiniMax-M3,diagnostic_specificity,3,-0.055865921787709494,358
MiniMax-M3,diagnostic_specificity,4,-0.06564245810055866,358
MiniMax-M3,diagnostic_specificity,5,-0.14106145251396648,358
MiniMax-M3,diagnostic_specificity,6,-0.1005586592178771,358
MiniMax-M3,elicitation,1,-0.034916201117318434,358
MiniMax-M3,elicitation,2,0.13547486033519554,358
MiniMax-M3,elicitation,3,0.0670391061452514,358
MiniMax-M3,elicitation,4,-0.07402234636871509,358
MiniMax-M3,elicitation,5,0.0111731843575419,358
MiniMax-M3,elicitation,6,0.029329608938547486,358
MiniMax-M3,epistemic_caution,1,-0.09776536312849161,358
MiniMax-M3,epistemic_caution,2,0.02094972067039106,358
MiniMax-M3,epistemic_caution,3,-0.006983240223463687,358
MiniMax-M3,epistemic_caution,4,-0.018156424581005588,358
MiniMax-M3,epistemic_caution,5,-0.025139664804469275,358
MiniMax-M3,epistemic_caution,6,-0.002793296089385475,358
MiniMax-M3,help_directness,1,0.18156424581005587,358
MiniMax-M3,help_directness,2,0.06564245810055866,358
MiniMax-M3,help_directness,3,0.05865921787709497,358
MiniMax-M3,help_directness,4,0.09497206703910614,358
MiniMax-M3,help_directness,5,0.09776536312849161,358
MiniMax-M3,help_directness,6,0.12290502793296089,358
MiniMax-M3,personalization,1,-0.1494413407821229,358
MiniMax-M3,personalization,2,-0.027932960893854747,358
MiniMax-M3,personalization,3,-0.06564245810055866,358
MiniMax-M3,personalization,4,-0.0111731843575419,358
MiniMax-M3,personalization,5,-0.02653631284916201,358
MiniMax-M3,personalization,6,-0.0223463687150838,358
deepseek-v4-pro,affective_warmth,1,0.02094972067039106,358
deepseek-v4-pro,affective_warmth,2,0.11312849162011174,358
deepseek-v4-pro,affective_warmth,3,0.164804469273743,358
deepseek-v4-pro,affective_warmth,4,0.18994413407821228,358
deepseek-v4-pro,affective_warmth,5,0.19972067039106145,358
