held_out_task,feature_set,n_train,n_test,accuracy,balanced_accuracy
longtutor,length_only,1908,240,0.2916666666666667,0.2916666666666667
longtutor,transparent,1908,240,0.4125,0.4124999999999999
longtutor,semantic,1908,240,0.37083333333333335,0.37083333333333335
longtutor,transparent_plus_semantic,1908,240,0.4791666666666667,0.4791666666666667
mathdial_hard,length_only,1668,480,0.21666666666666667,0.2166666666666667
mathdial_hard,transparent,1668,480,0.38333333333333336,0.38333333333333336
mathdial_hard,semantic,1668,480,0.33125,0.33125
mathdial_hard,transparent_plus_semantic,1668,480,0.4270833333333333,0.4270833333333333
mathdial_standard,length_only,1200,948,0.21729957805907174,0.21729957805907174
mathdial_standard,transparent,1200,948,0.37763713080168776,0.37763713080168776
mathdial_standard,semantic,1200,948,0.3744725738396624,0.3744725738396624
mathdial_standard,transparent_plus_semantic,1200,948,0.45042194092827004,0.4504219409282701
socratic,length_only,1668,480,0.23125,0.23124999999999998
socratic,transparent,1668,480,0.23958333333333334,0.2395833333333333
socratic,semantic,1668,480,0.21041666666666667,0.21041666666666667
socratic,transparent_plus_semantic,1668,480,0.20833333333333334,0.20833333333333334
