dimension,judge_left,judge_right,n,exact_agreement,within_one,spearman,quadratic_weighted_kappa,mean_difference_left_minus_right
help_directness,MiniMax-M3,glm-5.2,2148,0.595903165735568,0.9115456238361266,0.7621210502298074,0.7954429876077812,0.0712290502793296
help_directness,MiniMax-M3,deepseek-v4-pro,2148,0.5139664804469274,0.8235567970204841,0.7286099382343757,0.7450901166833257,0.13594040968342644
help_directness,glm-5.2,deepseek-v4-pro,2148,0.5558659217877095,0.8105214152700186,0.7060187248690051,0.7393038434326404,0.06471135940409684
elicitation,MiniMax-M3,glm-5.2,2148,0.6550279329608939,0.9506517690875232,0.8357086165468995,0.9023035266466373,0.05540037243947858
elicitation,MiniMax-M3,deepseek-v4-pro,2148,0.6852886405959032,0.9208566108007449,0.8512050763137455,0.8942197445566007,-0.010707635009310988
elicitation,glm-5.2,deepseek-v4-pro,2148,0.7039106145251397,0.9217877094972067,0.8549421112739137,0.893922900032115,-0.06610800744878957
autonomy_support,MiniMax-M3,glm-5.2,2148,0.4664804469273743,0.8999068901303539,0.7002882121560523,0.673168744067844,0.2909683426443203
autonomy_support,MiniMax-M3,deepseek-v4-pro,2148,0.30679702048417135,0.6871508379888268,0.5545572176906449,0.460806628114966,0.7164804469273743
autonomy_support,glm-5.2,deepseek-v4-pro,2148,0.40549348230912474,0.7462756052141527,0.6447230165906839,0.5751807149631847,0.425512104283054
affective_warmth,MiniMax-M3,glm-5.2,2148,0.6815642458100558,0.9855679702048417,0.8679997599228245,0.8625403979007916,-0.09078212290502793
affective_warmth,MiniMax-M3,deepseek-v4-pro,2148,0.5814711359404097,0.9129422718808193,0.8504334710272135,0.7969081224015828,-0.2048417132216015
affective_warmth,glm-5.2,deepseek-v4-pro,2148,0.6080074487895717,0.931098696461825,0.8604305794701528,0.8270255638205564,-0.11405959031657356
diagnostic_specificity,MiniMax-M3,glm-5.2,2148,0.6052141527001862,0.9376163873370578,0.8720784492656181,0.8581492515601418,-0.20437616387337057
diagnostic_specificity,MiniMax-M3,deepseek-v4-pro,2148,0.4767225325884544,0.813780260707635,0.7846871322471516,0.751942699527976,-0.07681564245810056
diagnostic_specificity,glm-5.2,deepseek-v4-pro,2148,0.5623836126629422,0.8282122905027933,0.8170337125856652,0.7958766737774934,0.12756052141527002
personalization,MiniMax-M3,glm-5.2,2148,0.6405959031657356,0.909683426443203,0.6468237097483582,0.6545826309633664,-0.11080074487895716
personalization,MiniMax-M3,deepseek-v4-pro,2148,0.6024208566108007,0.8505586592178771,0.6141996290498575,0.6191456473836544,0.009776536312849162
personalization,glm-5.2,deepseek-v4-pro,2148,0.696927374301676,0.8156424581005587,0.6157947339386022,0.5915058114126619,0.12057728119180633
cognitive_load,MiniMax-M3,glm-5.2,2148,0.5619180633147114,0.9739292364990689,0.6922007828388183,0.6937374308339734,0.035381750465549346
cognitive_load,MiniMax-M3,deepseek-v4-pro,2148,0.41480446927374304,0.8933891992551211,0.6256748876050061,0.6078042986387382,0.2723463687150838
cognitive_load,glm-5.2,deepseek-v4-pro,2148,0.5339851024208566,0.9008379888268156,0.702295120848194,0.6586045476076612,0.23696461824953446
epistemic_caution,MiniMax-M3,glm-5.2,2148,0.6028864059590316,0.8310055865921788,0.29358569914645866,0.26707069915765036,-0.18668528864059591
epistemic_caution,MiniMax-M3,deepseek-v4-pro,2148,0.6876163873370578,0.8719739292364991,0.29479982837651053,0.32222026628926226,0.14338919925512103
epistemic_caution,glm-5.2,deepseek-v4-pro,2148,0.6475791433891993,0.8086592178770949,0.3155383750977432,0.31749732004570497,0.330074487895717
