benchmark,dimension,contexts,models,partial_eta_squared_model_after_item,bootstrap_ci_low,bootstrap_ci_high,max_minus_min_model_mean
longtutor_teaching,affective_warmth,40,6,0.38554455445544555,0.29709245055987066,0.49719867706627585,1.55
longtutor_teaching,autonomy_support,40,6,0.3339920948616601,0.2580811457875165,0.44673005676570393,1.3499999999999999
longtutor_teaching,cognitive_load,40,6,0.3328751857355126,0.24945379394223707,0.44184169004207546,1.025
longtutor_teaching,diagnostic_specificity,40,6,0.2601765489673552,0.17091624599412625,0.39420250801792084,1.5500000000000003
longtutor_teaching,elicitation,40,6,0.35265525246662793,0.2784592453863862,0.46166539245147425,2.0
longtutor_teaching,epistemic_caution,40,6,0.09037530266343825,0.045244856551217405,0.1929399598862901,0.44999999999999996
longtutor_teaching,help_directness,40,6,0.3119640787949014,0.22716571333788024,0.4248025784445937,1.275
longtutor_teaching,personalization,40,6,0.27157980456026054,0.1893232277215841,0.3930032583429507,1.9250000000000003
mathtutorbench_pedagogy,affective_warmth,79,6,0.19724622498089842,0.13821817967226002,0.27895253868375214,1.1392405063291138
mathtutorbench_pedagogy,autonomy_support,79,6,0.10974862047823418,0.0636980673922741,0.19010298064566875,0.721518987341772
mathtutorbench_pedagogy,cognitive_load,79,6,0.08986538924719671,0.05837856468565732,0.15260738851405448,0.4430379746835442
mathtutorbench_pedagogy,diagnostic_specificity,79,6,0.08075203411136846,0.03623755498221965,0.1645078986709301,0.759493670886076
mathtutorbench_pedagogy,elicitation,79,6,0.14635747675823307,0.08708265311652487,0.24097024741103387,1.0
mathtutorbench_pedagogy,epistemic_caution,79,6,0.06193546353074703,0.03223465556237594,0.11996065381325281,0.3417721518987342
mathtutorbench_pedagogy,help_directness,79,6,0.1694093885561491,0.11843512258046382,0.25112394806020993,1.0
mathtutorbench_pedagogy,personalization,79,6,0.01940312297884141,0.008721412615679203,0.06374154454396105,0.13924050632911422
