held_out_model,feature_set,n_test,auc,brier,accuracy,auc_gain_vs_transparent
deepseek-v4-pro,task_item_only,318,0.9148813316342785,0.122011506082593,0.8207547169811321,-0.018616597642561183
deepseek-v4-pro,transparent_only,318,0.9334979292768397,0.10669792279986634,0.8553459119496856,0.0
deepseek-v4-pro,semantic_only,318,0.9265490602102581,0.11210934810046828,0.839622641509434,-0.006948869066581653
deepseek-v4-pro,transparent_plus_semantic,318,0.9297148773494743,0.11040836978223408,0.8553459119496856,-0.0037830519273653884
doubao-seed-2.0-pro,task_item_only,318,0.889890611852386,0.13296345062129128,0.8113207547169812,-0.03469968345554364
doubao-seed-2.0-pro,transparent_only,318,0.9245902953079297,0.10945767691140136,0.8553459119496856,0.0
doubao-seed-2.0-pro,semantic_only,318,0.9182994750971671,0.11060467865010819,0.8522012578616353,-0.006290820210762549
doubao-seed-2.0-pro,transparent_plus_semantic,318,0.9228673318107145,0.10742097178214843,0.8616352201257862,-0.0017229634972152352
glm-5.2,task_item_only,318,0.8767079376527628,0.1594902463598838,0.7704402515723271,-0.035501061826341274
glm-5.2,transparent_only,318,0.912208999479104,0.12605393531491058,0.8238993710691824,0.0
glm-5.2,semantic_only,318,0.9410586208278239,0.09727127449023315,0.8584905660377359,0.028849621348719823
glm-5.2,transparent_plus_semantic,318,0.9386945546339704,0.10000664133371565,0.8584905660377359,0.02648555515486639
minimax-m2.7,task_item_only,318,0.9159310833136654,0.1423946443338235,0.7955974842767296,-0.009676658012744865
minimax-m2.7,transparent_only,318,0.9256077413264102,0.11608909063032304,0.8301886792452831,0.0
minimax-m2.7,semantic_only,318,0.944630634883172,0.09128588287380443,0.8805031446540881,0.01902289355676179
minimax-m2.7,transparent_plus_semantic,318,0.9418456455038943,0.09125445780870915,0.8773584905660378,0.016237904177484053
minimax-m3,task_item_only,318,0.898253367003367,0.13180703739339678,0.8176100628930818,0.010627104377104346
minimax-m3,transparent_only,318,0.8876262626262627,0.13251619057195085,0.8301886792452831,0.0
minimax-m3,semantic_only,318,0.9250841750841751,0.10496790533803917,0.8679245283018868,0.03745791245791241
minimax-m3,transparent_plus_semantic,318,0.9163299663299663,0.11129727274532086,0.8647798742138365,0.028703703703703676
qwen3.5-4b,task_item_only,318,0.8490070093457944,0.16668437226137195,0.7578616352201258,-0.005009884974838119
qwen3.5-4b,transparent_only,318,0.8540168943206325,0.16372969733332948,0.7610062893081762,0.0
qwen3.5-4b,semantic_only,318,0.8829079798705968,0.13666724772656827,0.8113207547169812,0.028891085549964224
qwen3.5-4b,transparent_plus_semantic,318,0.8760783608914451,0.1440742506574713,0.7924528301886793,0.022061466570812538
