benchmark,task,arm,model,dimension,raw_mean,centered_mean,z_centered_mean,contexts
longtutor_teaching,longtutor,longitudinal,deepseek-v4-pro,affective_warmth,3.025,0.225,0.26809974868978287,40
longtutor_teaching,longtutor,longitudinal,deepseek-v4-pro,autonomy_support,3.05,0.31666666666666665,0.37695253647675353,40
longtutor_teaching,longtutor,longitudinal,deepseek-v4-pro,cognitive_load,2.4,-0.3875,-0.565638224521751,40
longtutor_teaching,longtutor,longitudinal,deepseek-v4-pro,diagnostic_specificity,3.075,0.26250000000000007,0.2565745272001776,40
longtutor_teaching,longtutor,longitudinal,deepseek-v4-pro,elicitation,3.325,0.1958333333333333,0.1786563895666346,40
longtutor_teaching,longtutor,longitudinal,deepseek-v4-pro,epistemic_caution,1.7,0.15416666666666667,0.2872698397944496,40
longtutor_teaching,longtutor,longitudinal,deepseek-v4-pro,help_directness,3.05,-0.24583333333333335,-0.3168910311873277,40
longtutor_teaching,longtutor,longitudinal,deepseek-v4-pro,personalization,3.3,0.12083333333333335,0.09870590257918137,40
longtutor_teaching,longtutor,longitudinal,doubao-seed-2.0-pro,affective_warmth,3.475,0.675,0.8042992460693487,40
longtutor_teaching,longtutor,longitudinal,doubao-seed-2.0-pro,autonomy_support,3.025,0.29166666666666663,0.347193125702273,40
longtutor_teaching,longtutor,longitudinal,doubao-seed-2.0-pro,cognitive_load,2.475,-0.3125,-0.456159858485283,40
longtutor_teaching,longtutor,longitudinal,doubao-seed-2.0-pro,diagnostic_specificity,2.575,-0.23749999999999996,-0.23213885794301775,40
longtutor_teaching,longtutor,longitudinal,doubao-seed-2.0-pro,elicitation,3.6,0.4708333333333333,0.42953557491552574,40
longtutor_teaching,longtutor,longitudinal,doubao-seed-2.0-pro,epistemic_caution,1.375,-0.17083333333333334,-0.3183260386911468,40
longtutor_teaching,longtutor,longitudinal,doubao-seed-2.0-pro,help_directness,2.9,-0.39583333333333337,-0.5102482705558666,40
longtutor_teaching,longtutor,longitudinal,doubao-seed-2.0-pro,personalization,3.5,0.32083333333333336,0.26208118960679194,40
longtutor_teaching,longtutor,longitudinal,glm-5.2,affective_warmth,2.55,-0.25,-0.2978886096553144,40
longtutor_teaching,longtutor,longitudinal,glm-5.2,autonomy_support,3.025,0.29166666666666663,0.347193125702273,40
longtutor_teaching,longtutor,longitudinal,glm-5.2,cognitive_load,2.375,-0.4125,-0.6021310132005737,40
longtutor_teaching,longtutor,longitudinal,glm-5.2,diagnostic_specificity,2.425,-0.38749999999999996,-0.3787528734859763,40
longtutor_teaching,longtutor,longitudinal,glm-5.2,elicitation,3.775,0.6458333333333333,0.5891859655920929,40
longtutor_teaching,longtutor,longitudinal,glm-5.2,epistemic_caution,1.525,-0.020833333333333325,-0.03882024862087154,40
