held_out_task,feature_set,n_train,n_test,accuracy,balanced_accuracy
mathdial_hard,length_only,1440,480,0.24375,0.24375
mathdial_hard,transparent,1440,480,0.3958333333333333,0.3958333333333333
mathdial_hard,semantic,1440,480,0.33125,0.33125000000000004
mathdial_hard,transparent_plus_semantic,1440,480,0.4395833333333333,0.43958333333333327
mathdial_standard,length_only,960,960,0.2791666666666667,0.2791666666666667
mathdial_standard,transparent,960,960,0.37604166666666666,0.37604166666666666
mathdial_standard,semantic,960,960,0.3854166666666667,0.3854166666666667
mathdial_standard,transparent_plus_semantic,960,960,0.4625,0.46249999999999997
socratic,length_only,1440,480,0.19583333333333333,0.1958333333333333
socratic,transparent,1440,480,0.21041666666666667,0.2104166666666667
socratic,semantic,1440,480,0.18958333333333333,0.18958333333333333
socratic,transparent_plus_semantic,1440,480,0.20625,0.20624999999999996
