task,model,dimension,paired_contexts,generic_mean,pedagogy_mean,mean_delta,median_delta,ci_low,ci_high,wilcoxon_p,positive_fraction,negative_fraction,bh_q_within_task
mathdial_hard,deepseek-v4-pro,affective_warmth,40,2.275,2.3125,0.0375,0.0,-0.4440625,0.39906249999999965,0.7681368058618172,0.275,0.3,0.7681368058618171
mathdial_hard,deepseek-v4-pro,autonomy_support,40,1.925,3.4375,1.5125,1.5,1.2184375,1.963125,4.733403513050866e-06,0.675,0.075,1.6228812044745826e-05
mathdial_hard,deepseek-v4-pro,cognitive_load,40,2.225,1.675,-0.55,-1.0,-0.85375,-0.2796875000000001,0.002240826325428472,0.15,0.55,0.005661034927398245
mathdial_hard,deepseek-v4-pro,diagnostic_specificity,40,3.6,2.975,-0.625,-0.5,-1.09875,-0.1981250000000001,0.01093429033705671,0.2,0.5,0.020993837447148885
mathdial_hard,deepseek-v4-pro,elicitation,40,2.125,4.2625,2.1375,3.0,1.6803125,2.7215624999999997,2.7433814736263867e-06,0.7,0.075,1.0973525894505547e-05
mathdial_hard,deepseek-v4-pro,epistemic_caution,40,1.175,1.5875,0.4125,0.0,0.171875,0.5899999999999999,0.006707189825572101,0.45,0.125,0.01533071960130766
mathdial_hard,deepseek-v4-pro,help_directness,40,4.0,2.35,-1.65,-2.0,-2.1253125,-1.26,4.207566423575539e-06,0.125,0.775,1.5535629871663527e-05
mathdial_hard,deepseek-v4-pro,personalization,40,2.975,3.0625,0.0875,0.0,-0.1328125,0.35124999999999995,0.563925565352612,0.25,0.225,0.6015206030427861
mathdial_hard,doubao-seed-2.0-pro,affective_warmth,40,3.675,3.0875,-0.5875,-0.25,-0.983125,-0.2790625000000001,0.012022559651765517,0.15,0.5,0.0220126113105733
mathdial_hard,doubao-seed-2.0-pro,autonomy_support,40,2.0,3.7875,1.7875,2.0,1.2934375,2.1721874999999997,9.783579670030674e-07,0.75,0.1,7.82686373602454e-06
mathdial_hard,doubao-seed-2.0-pro,cognitive_load,40,2.725,1.6875,-1.0375,-1.0,-1.2328124999999999,-0.8290625000000001,6.198189850112965e-06,0.1,0.725,1.983420752036149e-05
mathdial_hard,doubao-seed-2.0-pro,diagnostic_specificity,40,3.475,2.9625,-0.5125,0.0,-0.7696875,-0.20343750000000016,0.016746858047256365,0.2,0.425,0.028708899509582338
mathdial_hard,doubao-seed-2.0-pro,elicitation,40,1.975,4.675,2.7,3.0,2.17375,3.3074999999999997,2.7260650806216914e-07,0.825,0.025,6.54255619349206e-06
mathdial_hard,doubao-seed-2.0-pro,epistemic_caution,40,1.25,1.575,0.325,0.0,0.020000000000000018,0.5603124999999998,0.07966747690744173,0.4,0.2,0.1092936900920546
mathdial_hard,doubao-seed-2.0-pro,help_directness,40,3.975,2.1875,-1.7875,-2.0,-2.0834375,-1.3678125,7.415600410181077e-07,0.05,0.8,7.434243191216912e-06
mathdial_hard,doubao-seed-2.0-pro,personalization,40,3.25,3.15,-0.1,0.0,-0.2703125,0.08156249999999998,0.48515821067077447,0.25,0.3,0.5415719560976088
mathdial_hard,glm-5.2,affective_warmth,40,2.825,2.475,-0.35,-0.5,-0.6125,-0.06125000000000007,0.048065612926457904,0.225,0.5,0.07209841938968686
mathdial_hard,glm-5.2,autonomy_support,40,3.075,3.4625,0.3875,0.0,0.0665625,0.6315624999999999,0.07969331569212314,0.4,0.225,0.1092936900920546
mathdial_hard,glm-5.2,cognitive_load,40,2.025,1.7625,-0.2625,0.0,-0.6734374999999999,-0.075,0.07729968774787176,0.3,0.475,0.1092936900920546
mathdial_hard,glm-5.2,diagnostic_specificity,40,3.4,3.15,-0.25,0.0,-0.489375,0.19124999999999978,0.2764736592304856,0.3,0.475,0.32367647909910513
mathdial_hard,glm-5.2,elicitation,40,3.45,4.25,0.8,0.25,0.34750000000000003,1.3906249999999998,0.009916744132549275,0.5,0.2,0.01983348826509855
mathdial_hard,glm-5.2,epistemic_caution,40,1.325,1.5125,0.1875,0.0,-0.025,0.42624999999999996,0.2558172175314338,0.325,0.25,0.3069806610377206
mathdial_hard,glm-5.2,help_directness,40,3.125,2.525,-0.6,-1.0,-0.9696875,-0.14250000000000043,0.008624565717437443,0.2,0.55,0.018817234292590787
mathdial_hard,glm-5.2,personalization,40,3.025,3.0875,0.0625,0.0,-0.08875,0.33812499999999995,0.6090855444964653,0.275,0.225,0.6355675246919639
mathdial_hard,minimax-m2.7,affective_warmth,40,2.25,2.6875,0.4375,0.0,0.199375,0.8821875,0.03810994516921237,0.425,0.125,0.05900894735878045
mathdial_hard,minimax-m2.7,autonomy_support,40,1.5,3.225,1.725,2.0,1.356875,2.0637499999999998,1.7703670805362113e-06,0.775,0.075,8.497761986573814e-06
mathdial_hard,minimax-m2.7,cognitive_load,40,2.475,1.7625,-0.7125,-1.0,-0.93875,-0.5487500000000001,8.133500066126663e-05,0.125,0.625,0.00021689333509671103
mathdial_hard,minimax-m2.7,diagnostic_specificity,40,2.9,2.5625,-0.3375,0.0,-0.750625,0.02749999999999985,0.11368626349584783,0.375,0.45,0.15158168466113045
mathdial_hard,minimax-m2.7,elicitation,40,1.575,4.05,2.475,3.0,1.91875,2.89125,5.596584481956244e-07,0.825,0.075,7.434243191216912e-06
mathdial_hard,minimax-m2.7,epistemic_caution,40,1.25,1.4875,0.2375,0.0,-0.07999999999999999,0.43156249999999996,0.13767715113510703,0.3,0.15,0.17390798038118782
mathdial_hard,minimax-m2.7,help_directness,40,4.575,2.7625,-1.8125,-2.0,-2.2,-1.3937500000000003,1.5651308293267152e-06,0.125,0.775,8.497761986573814e-06
mathdial_hard,minimax-m2.7,personalization,40,2.725,2.9,0.175,0.0,-0.0190625,0.43218749999999995,0.25058116171028166,0.325,0.175,0.3069806610377206
mathdial_hard,minimax-m3,affective_warmth,40,2.725,2.8,0.075,0.0,-0.1853125,0.388125,0.6786063722610692,0.375,0.3,0.6930448057134324
mathdial_hard,minimax-m3,autonomy_support,40,1.525,3.1875,1.6625,2.0,1.161875,2.0578125,1.7525631934564614e-06,0.725,0.1,8.497761986573814e-06
mathdial_hard,minimax-m3,cognitive_load,40,2.725,1.875,-0.85,-1.0,-1.1,-0.6618750000000001,2.4817929573046433e-05,0.1,0.7,7.00741540886017e-05
mathdial_hard,minimax-m3,diagnostic_specificity,40,3.35,2.9625,-0.3875,0.0,-0.7709374999999999,-0.07906250000000012,0.12418597489276575,0.275,0.475,0.16110612959061504
mathdial_hard,minimax-m3,elicitation,40,1.525,3.925,2.4,3.0,1.9153125,2.8065625,7.744003324184282e-07,0.775,0.025,7.434243191216912e-06
mathdial_hard,minimax-m3,epistemic_caution,40,1.225,1.675,0.45,0.0,0.249375,0.7568749999999996,0.009278840734671811,0.425,0.15,0.01936453718540204
mathdial_hard,minimax-m3,help_directness,40,4.55,2.625,-1.925,-2.0,-2.455625,-1.4159375000000003,1.7592848736193104e-06,0.05,0.75,8.497761986573814e-06
mathdial_hard,minimax-m3,personalization,40,2.875,3.1625,0.2875,0.0,0.12375,0.5287499999999998,0.03652297557659253,0.375,0.1,0.05843676092254804
mathdial_hard,qwen3.5-4b,affective_warmth,40,2.95,2.775,-0.175,0.0,-0.3840625,0.1268749999999999,0.31558411045303725,0.275,0.4,0.3606675548034711
mathdial_hard,qwen3.5-4b,autonomy_support,40,1.7,3.0625,1.3625,1.5,0.971875,1.5631249999999999,2.4570227173164884e-06,0.8,0.025,1.0721553675562859e-05
mathdial_hard,qwen3.5-4b,cognitive_load,40,2.1,1.7125,-0.3875,0.0,-0.5953125,-0.1653125000000002,0.0024646307249678047,0.1,0.425,0.005915113739922731
mathdial_hard,qwen3.5-4b,diagnostic_specificity,40,2.975,2.8625,-0.1125,0.0,-0.35,0.2096874999999998,0.554132477108149,0.325,0.35,0.6015206030427861
mathdial_hard,qwen3.5-4b,elicitation,40,1.4,3.5,2.1,2.0,1.72375,2.4043749999999995,1.7194673668519141e-07,0.875,0.0,6.54255619349206e-06
mathdial_hard,qwen3.5-4b,epistemic_caution,40,1.2,1.5375,0.3375,0.0,0.051562500000000004,0.6315624999999999,0.027354232788906002,0.3,0.125,0.045275971512672
mathdial_hard,qwen3.5-4b,help_directness,40,3.85,2.675,-1.175,-1.0,-1.3440625,-0.8809375,1.571799897805264e-05,0.075,0.75,4.715399693415792e-05
mathdial_hard,qwen3.5-4b,personalization,40,2.7,2.9625,0.2625,0.0,0.111875,0.38156249999999997,0.01238209386219748,0.325,0.05,0.0220126113105733
mathdial_standard,deepseek-v4-pro,affective_warmth,80,2.4375,2.3625,-0.075,0.0,-0.17203125,0.04375,0.6403181099473748,0.35,0.3625,0.6539418995207231
mathdial_standard,deepseek-v4-pro,autonomy_support,80,2.425,3.45,1.025,1.0,0.7848437500000001,1.3065625,9.183231675222987e-09,0.7125,0.2125,2.4488617800594633e-08
mathdial_standard,deepseek-v4-pro,cognitive_load,80,2.075,1.53125,-0.54375,-0.5,-0.6782812500000001,-0.44015625,9.001185236527372e-07,0.175,0.5875,1.6002107087159773e-06
mathdial_standard,deepseek-v4-pro,diagnostic_specificity,80,3.4375,3.14375,-0.29375,-0.5,-0.47234375,-0.12703125000000007,0.011160532877680795,0.2625,0.5125,0.014478529138612922
mathdial_standard,deepseek-v4-pro,elicitation,80,2.525,4.45625,1.93125,2.0,1.5075,2.2896875,4.581920574225439e-12,0.775,0.1,1.9993835232983734e-11
mathdial_standard,deepseek-v4-pro,epistemic_caution,80,1.3625,1.8625,0.5,0.5,0.3675,0.7587499999999999,3.0599703979621175e-05,0.6625,0.125,5.064778589730401e-05
mathdial_standard,deepseek-v4-pro,help_directness,80,3.4,2.0375,-1.3625,-1.5,-1.6075000000000002,-1.0796875000000001,1.8328292354509013e-10,0.125,0.725,6.283985950117376e-10
mathdial_standard,deepseek-v4-pro,personalization,80,2.7125,2.925,0.2125,0.0,0.08296875000000001,0.31078124999999995,0.00506502872469808,0.3375,0.15,0.006946325108157367
mathdial_standard,doubao-seed-2.0-pro,affective_warmth,80,3.7125,3.44375,-0.26875,0.0,-0.41578125,-0.12796875000000002,0.005641103695932514,0.2375,0.4625,0.007521471594576685
mathdial_standard,doubao-seed-2.0-pro,autonomy_support,80,1.9,3.70625,1.80625,2.0,1.5003125,2.01078125,1.1900759319512371e-12,0.8375,0.1125,8.160520676237055e-12
mathdial_standard,doubao-seed-2.0-pro,cognitive_load,80,2.525,1.425,-1.1,-1.0,-1.2646875,-0.9809375,2.443737657526977e-12,0.05,0.85,1.172994075612949e-11
mathdial_standard,doubao-seed-2.0-pro,diagnostic_specificity,80,3.475,2.825,-0.65,-1.0,-0.86796875,-0.40296875000000004,3.1651290786456778e-06,0.1375,0.625,5.42593556339259e-06
mathdial_standard,doubao-seed-2.0-pro,elicitation,80,1.775,4.75,2.975,3.5,2.54984375,3.195,3.651291179728917e-14,0.9,0.0375,5.842065887566267e-13
mathdial_standard,doubao-seed-2.0-pro,epistemic_caution,80,1.1875,1.75,0.5625,0.5,0.3746875,0.7125,4.980902817682786e-07,0.6875,0.075,9.195512894183607e-07
mathdial_standard,doubao-seed-2.0-pro,help_directness,80,3.9125,1.7875,-2.125,-2.5,-2.3690625,-1.8357812500000001,1.3189769454510394e-13,0.0625,0.8875,1.0551815563608315e-12
