held_out_model,feature_set,n_test,auc,brier,accuracy,auc_gain_vs_transparent
deepseek-v4-pro,task_item_only,320,0.914735229415462,0.1223427295020508,0.81875,-0.01907212445003137
deepseek-v4-pro,transparent_only,320,0.9338073538654934,0.10654931958642574,0.85625,0.0
deepseek-v4-pro,semantic_only,320,0.9256756756756757,0.11025882962661585,0.853125,-0.008131678189817748
deepseek-v4-pro,transparent_plus_semantic,320,0.9277184160905092,0.10942194749894107,0.85625,-0.006088937774984204
doubao-seed-2.0-pro,task_item_only,320,0.8890251622092104,0.1331932193962087,0.809375,-0.034143060610856035
doubao-seed-2.0-pro,transparent_only,320,0.9231682228200664,0.11052790419682597,0.853125,0.0
doubao-seed-2.0-pro,semantic_only,320,0.9175502452919766,0.11162934940178407,0.84375,-0.00561797752808979
doubao-seed-2.0-pro,transparent_plus_semantic,320,0.922258268713404,0.10937402045728721,0.853125,-0.0009099541066623917
glm-5.2,task_item_only,320,0.8768968659614089,0.15963304013198218,0.76875,-0.03526288680217127
glm-5.2,transparent_only,320,0.9121597527635802,0.12604378707628885,0.821875,0.0
glm-5.2,semantic_only,320,0.9394191528982924,0.09800932460615122,0.871875,0.027259400134712175
glm-5.2,transparent_plus_semantic,320,0.9394587741194184,0.09886363227638516,0.875,0.02729902135583817
minimax-m2.7,task_item_only,320,0.9119064327485381,0.14482995252556438,0.7875,-0.00968421052631574
minimax-m2.7,transparent_only,320,0.9215906432748538,0.11969954324170014,0.821875,0.0
minimax-m2.7,semantic_only,320,0.9468070175438597,0.09299701413264871,0.865625,0.025216374269005803
minimax-m2.7,transparent_plus_semantic,320,0.9435789473684211,0.09322556274495233,0.86875,0.021988304093567224
minimax-m3,task_item_only,320,0.897561682397748,0.13213525549593452,0.80625,0.008755588673621584
minimax-m3,transparent_only,320,0.8888060937241264,0.1314946321607817,0.834375,0.0
minimax-m3,semantic_only,320,0.9177844013909587,0.1056104208730072,0.85625,0.028978307666832293
minimax-m3,transparent_plus_semantic,320,0.912568306010929,0.11093116878003924,0.85,0.02376221228680253
qwen3.5-4b,task_item_only,320,0.8496566998892581,0.16646776609871686,0.75625,-0.004961240310077386
qwen3.5-4b,transparent_only,320,0.8546179401993355,0.1628369549764485,0.765625,0.0
qwen3.5-4b,semantic_only,320,0.881860465116279,0.13791244033570607,0.80625,0.027242524916943567
qwen3.5-4b,transparent_plus_semantic,320,0.8739756367663345,0.14538090524050445,0.8,0.01935769656699904
