task,arm,dimension,ratings,mean,sd,floor_fraction,ceiling_fraction,unique_values,normalized_entropy
mathdial_hard,generic,affective_warmth,240,2.783333333333333,1.009812963980074,0.09583333333333334,0.05,5,0.8776208739669636
mathdial_hard,generic,autonomy_support,240,1.9541666666666666,1.1555947843234475,0.49583333333333335,0.016666666666666666,5,0.7935614231303378
mathdial_hard,generic,cognitive_load,240,2.379166666666667,0.8575542580825749,0.14583333333333334,0.004166666666666667,5,0.7775741586112506
mathdial_hard,generic,diagnostic_specificity,240,3.283333333333333,1.2824672402140422,0.14166666666666666,0.17083333333333334,5,0.9538863080759331
mathdial_hard,generic,elicitation,240,2.0083333333333333,1.5027521049357704,0.6375,0.12916666666666668,5,0.7093468988667793
mathdial_hard,generic,epistemic_caution,240,1.2375,0.4893128685548065,0.7916666666666666,0.0,3,0.37038239346401086
mathdial_hard,generic,help_directness,240,4.0125,1.2795873358235461,0.058333333333333334,0.5583333333333333,5,0.7826784375648927
mathdial_hard,generic,personalization,240,2.925,0.8027297179001162,0.075,0.016666666666666666,5,0.6877548497935677
mathdial_hard,pedagogy,affective_warmth,240,2.689583333333333,0.9368029816289488,0.08333333333333333,0.016666666666666666,9,0.9687153912618904
mathdial_hard,pedagogy,autonomy_support,240,3.3604166666666666,0.9833487816583132,0.08333333333333333,0.0375,8,0.9158364418604297
mathdial_hard,pedagogy,cognitive_load,240,1.7458333333333333,0.6661325985784579,0.35833333333333334,0.0,6,0.7533185134474291
mathdial_hard,pedagogy,diagnostic_specificity,240,2.9125,1.2823521682179717,0.19166666666666668,0.1,9,1.1253843581323582
mathdial_hard,pedagogy,elicitation,240,4.110416666666667,1.2303860477057147,0.0875,0.5166666666666667,8,0.8754196974879251
mathdial_hard,pedagogy,epistemic_caution,240,1.5625,0.7570845945687531,0.5791666666666667,0.0,6,0.7240901133510873
mathdial_hard,pedagogy,help_directness,240,2.5208333333333335,1.08377394885752,0.15833333333333333,0.075,9,0.991794946608471
mathdial_hard,pedagogy,personalization,240,3.0541666666666667,0.6031025110948295,0.020833333333333332,0.004166666666666667,8,0.6585083734480331
mathdial_standard,generic,affective_warmth,480,2.98125,0.9046537666422442,0.04375,0.04791666666666667,5,0.815171837714452
mathdial_standard,generic,autonomy_support,480,2.08125,1.1178767541638925,0.4125,0.010416666666666666,5,0.8365192660140232
mathdial_standard,generic,cognitive_load,480,2.341666666666667,0.8113346343457112,0.13541666666666666,0.0020833333333333333,5,0.7445353730775666
mathdial_standard,generic,diagnostic_specificity,480,3.2729166666666667,1.3348282635064166,0.1625,0.17916666666666667,5,0.9515117663336046
mathdial_standard,generic,elicitation,480,2.060416666666667,1.4514704588986838,0.5833333333333334,0.11041666666666666,5,0.7801893124311018
mathdial_standard,generic,epistemic_caution,480,1.23125,0.6043785547982323,0.8479166666666667,0.0020833333333333333,5,0.3508485966621312
mathdial_standard,generic,help_directness,480,3.80625,1.3283614985512542,0.0625,0.48125,5,0.8468664949120761
mathdial_standard,generic,personalization,480,2.747916666666667,0.7423188845697575,0.08541666666666667,0.0020833333333333333,5,0.6370819738399427
mathdial_standard,pedagogy,affective_warmth,480,2.9520833333333334,0.7553943736368588,0.014583333333333334,0.008333333333333333,9,1.069261934608407
mathdial_standard,pedagogy,autonomy_support,480,3.402083333333333,0.6958177393462234,0.0125,0.0020833333333333333,9,1.048005266142055
mathdial_standard,pedagogy,cognitive_load,480,1.63125,0.5911345905685664,0.30833333333333335,0.0,6,0.9092860832408454
mathdial_standard,pedagogy,diagnostic_specificity,480,3.0770833333333334,1.2350336674448281,0.1375,0.07708333333333334,9,1.3281620932502616
mathdial_standard,pedagogy,elicitation,480,4.338541666666667,0.8419186658642007,0.016666666666666666,0.3958333333333333,9,0.9695405551079537
mathdial_standard,pedagogy,epistemic_caution,480,1.8260416666666666,0.6680576309450322,0.25416666666666665,0.0,7,0.9999526900512054
mathdial_standard,pedagogy,help_directness,480,2.2,0.9137833441248533,0.15625,0.016666666666666666,9,1.1857044932086036
mathdial_standard,pedagogy,personalization,480,2.935416666666667,0.3805092986891239,0.0020833333333333333,0.0,7,0.6253675213044663
socratic,socratic,affective_warmth,480,1.0,0.0,1.0,0.0,1,-0.0
socratic,socratic,autonomy_support,480,2.533333333333333,0.9325889889025188,0.15,0.010416666666666666,5,0.824884029814966
socratic,socratic,cognitive_load,480,2.779166666666667,0.9382959584030804,0.075,0.04583333333333333,5,0.8306040391726327
socratic,socratic,diagnostic_specificity,480,1.05,0.26925824035672524,0.9625,0.0,3,0.1141921879718597
socratic,socratic,elicitation,480,4.802083333333333,0.44299622991874577,0.0,0.81875,4,0.3293042336572163
socratic,socratic,epistemic_caution,480,1.0375,0.25546118426615555,0.9770833333333333,0.0,3,0.07717249518600555
socratic,socratic,help_directness,480,1.9916666666666667,1.123579349915063,0.4708333333333333,0.0375,5,0.8043767037943022
socratic,socratic,personalization,480,1.3520833333333333,0.6793040505219703,0.7583333333333333,0.0020833333333333333,4,0.4529492829649358
