judge,task,dimension,ratings,mean,sd,floor_fraction,ceiling_fraction,unique_values,normalized_entropy
MiniMax-M3,mathdial_hard,affective_warmth,480,2.7270833333333333,0.9845133280233211,0.10208333333333333,0.035416666666666666,5,0.8635517569864501
MiniMax-M3,mathdial_hard,autonomy_support,480,2.654166666666667,1.2914717594882033,0.28958333333333336,0.035416666666666666,5,0.9019416098021557
MiniMax-M3,mathdial_hard,cognitive_load,480,2.06875,0.8325803890115756,0.2604166666666667,0.0020833333333333333,5,0.7469098933900509
MiniMax-M3,mathdial_hard,diagnostic_specificity,480,3.0854166666666667,1.3034392939663726,0.175,0.1375,5,0.9704681676331744
MiniMax-M3,mathdial_hard,elicitation,480,3.0541666666666667,1.7312036195151113,0.3625,0.3333333333333333,5,0.8686695991981993
MiniMax-M3,mathdial_hard,epistemic_caution,480,1.3875,0.6485962406099293,0.7041666666666667,0.0,3,0.4911091649171809
MiniMax-M3,mathdial_hard,help_directness,480,3.2729166666666667,1.400333231671027,0.1125,0.31875,5,0.9355150774516278
MiniMax-M3,mathdial_hard,personalization,480,3.0,0.7187952884282609,0.04791666666666667,0.0125,5,0.6265016960128004
MiniMax-M3,mathdial_standard,affective_warmth,960,2.9364583333333334,0.8484814611590258,0.04791666666666667,0.03125,5,0.7724170288881578
MiniMax-M3,mathdial_standard,autonomy_support,960,2.792708333333333,1.2040508702973844,0.2125,0.030208333333333334,5,0.9024248484646106
MiniMax-M3,mathdial_standard,cognitive_load,960,2.017708333333333,0.820758641906309,0.2833333333333333,0.0010416666666666667,5,0.7359656198774155
MiniMax-M3,mathdial_standard,diagnostic_specificity,960,3.125,1.3311179511974136,0.175,0.16041666666666668,5,0.9773625476700578
MiniMax-M3,mathdial_standard,elicitation,960,3.21875,1.6801731371597788,0.3,0.35520833333333335,5,0.8995555284756401
MiniMax-M3,mathdial_standard,epistemic_caution,960,1.5020833333333334,0.7596571549426463,0.6489583333333333,0.0010416666666666667,5,0.5743870758296415
MiniMax-M3,mathdial_standard,help_directness,960,2.995833333333333,1.4193540686601855,0.16354166666666667,0.25,5,0.9636937725251693
MiniMax-M3,mathdial_standard,personalization,960,2.83125,0.697213576196945,0.059375,0.008333333333333333,5,0.601647583743999
MiniMax-M3,socratic,affective_warmth,480,1.0,0.0,1.0,0.0,1,-0.0
MiniMax-M3,socratic,autonomy_support,480,2.533333333333333,0.9325889889025188,0.15,0.010416666666666666,5,0.824884029814966
MiniMax-M3,socratic,cognitive_load,480,2.779166666666667,0.9382959584030804,0.075,0.04583333333333333,5,0.8306040391726327
MiniMax-M3,socratic,diagnostic_specificity,480,1.05,0.26925824035672524,0.9625,0.0,3,0.1141921879718597
MiniMax-M3,socratic,elicitation,480,4.802083333333333,0.44299622991874577,0.0,0.81875,4,0.3293042336572163
MiniMax-M3,socratic,epistemic_caution,480,1.0375,0.25546118426615555,0.9770833333333333,0.0,3,0.07717249518600555
MiniMax-M3,socratic,help_directness,480,1.9916666666666667,1.123579349915063,0.4708333333333333,0.0375,5,0.8043767037943022
MiniMax-M3,socratic,personalization,480,1.3520833333333333,0.6793040505219704,0.7583333333333333,0.0020833333333333333,4,0.4529492829649358
glm-5.2,mathdial_hard,affective_warmth,36,2.6666666666666665,0.881917103688197,0.0,0.027777777777777776,4,0.6529016575220468
glm-5.2,mathdial_hard,autonomy_support,36,3.5277777777777777,0.7632573146685603,0.05555555555555555,0.0,3,0.5027147164429713
glm-5.2,mathdial_hard,cognitive_load,36,1.6111111111111112,0.6781419786518723,0.5,0.0,3,0.5952390413370473
glm-5.2,mathdial_hard,diagnostic_specificity,36,3.388888888888889,1.1613636089092705,0.027777777777777776,0.2222222222222222,5,0.9155385080075166
glm-5.2,mathdial_hard,elicitation,36,4.305555555555555,1.0754700379225521,0.05555555555555555,0.5833333333333334,5,0.6778293119299036
glm-5.2,mathdial_hard,epistemic_caution,36,2.0555555555555554,0.9702360664762767,0.3333333333333333,0.0,4,0.792983285888909
glm-5.2,mathdial_hard,help_directness,36,2.3333333333333335,1.1055415967851334,0.2777777777777778,0.05555555555555555,5,0.8692391406366818
glm-5.2,mathdial_hard,personalization,36,2.861111111111111,0.4185144214810935,0.0,0.0,3,0.3556201160572634
glm-5.2,mathdial_standard,affective_warmth,474,3.0105485232067513,0.8431246602924017,0.05063291139240506,0.029535864978902954,5,0.7616930814654878
glm-5.2,mathdial_standard,autonomy_support,474,3.29957805907173,0.8053878637000863,0.02109704641350211,0.05063291139240506,5,0.7394317946943137
glm-5.2,mathdial_standard,cognitive_load,474,1.5654008438818565,0.6912237265661995,0.5464135021097046,0.0,4,0.5934538000556909
glm-5.2,mathdial_standard,diagnostic_specificity,474,3.1835443037974684,1.3096780658707037,0.17721518987341772,0.16244725738396623,5,0.9516935572315126
glm-5.2,mathdial_standard,elicitation,474,4.2974683544303796,0.9402586972609874,0.023206751054852322,0.540084388185654,5,0.701437375923209
glm-5.2,mathdial_standard,epistemic_caution,474,1.890295358649789,0.9371554035036083,0.45147679324894513,0.004219409282700422,5,0.7442074819206578
glm-5.2,mathdial_standard,help_directness,474,2.2130801687763713,1.034712808922599,0.2890295358649789,0.04219409282700422,5,0.8322020628453477
glm-5.2,mathdial_standard,personalization,474,2.9662447257383966,0.2735140737661072,0.008438818565400843,0.0,4,0.1546892249637911
