task,arm,dimension,ratings,mean,sd,floor_fraction,ceiling_fraction,unique_values,normalized_entropy
longtutor,longitudinal,affective_warmth,240,2.8,0.895358401237553,0.09166666666666666,0.020833333333333332,5,0.7964147071939324
longtutor,longitudinal,autonomy_support,240,2.7333333333333334,0.8825468196582484,0.10416666666666667,0.016666666666666666,5,0.780939098308899
longtutor,longitudinal,cognitive_load,240,2.7875,0.7642057423669798,0.025,0.03333333333333333,5,0.687585158032856
longtutor,longitudinal,diagnostic_specificity,240,2.8125,1.1557149663015243,0.15,0.07916666666666666,5,0.9447053797266034
longtutor,longitudinal,elicitation,240,3.129166666666667,1.1456363467038257,0.1125,0.11666666666666667,5,0.9304088148663423
longtutor,longitudinal,epistemic_caution,240,1.5458333333333334,0.7513760524678853,0.5791666666666667,0.004166666666666667,5,0.6043164671565505
longtutor,longitudinal,help_directness,240,3.2958333333333334,0.8563387018126777,0.008333333333333333,0.1375,5,0.6921071576018234
longtutor,longitudinal,personalization,240,3.1791666666666667,1.296302165992002,0.19583333333333333,0.10833333333333334,5,0.8904671763257082
mathdial_hard,generic,affective_warmth,240,2.9,1.0870449239413553,0.12916666666666668,0.0875,5,0.8855356340257221
mathdial_hard,generic,autonomy_support,240,1.8375,1.1702252276093408,0.5916666666666667,0.020833333333333332,5,0.7347386049632433
mathdial_hard,generic,cognitive_load,240,2.2583333333333333,0.8465206567014312,0.22083333333333333,0.0,4,0.7454277827154777
mathdial_hard,generic,diagnostic_specificity,240,3.4458333333333333,1.48505868757957,0.18333333333333332,0.32916666666666666,5,0.9468172811731059
mathdial_hard,generic,elicitation,240,1.9291666666666667,1.5135441758410033,0.6916666666666667,0.14166666666666666,5,0.6267972896496663
mathdial_hard,generic,epistemic_caution,240,1.1375,0.4585416193396917,0.9041666666666667,0.0,4,0.24421901223752143
mathdial_hard,generic,help_directness,240,4.0,1.3416407864998738,0.0875,0.5875,5,0.7212671517303948
mathdial_hard,generic,personalization,240,2.9458333333333333,0.44858961076789206,0.020833333333333332,0.008333333333333333,5,0.31003420734945447
mathdial_hard,pedagogy,affective_warmth,240,2.6458333333333335,1.0466132550066216,0.17916666666666667,0.03333333333333333,5,0.8734947849242561
mathdial_hard,pedagogy,autonomy_support,240,3.0875,0.9642840608451432,0.09166666666666666,0.0375,5,0.8139922619216547
