judge,task,dimension,ratings,mean,sd,floor_fraction,ceiling_fraction,unique_values,normalized_entropy
MiniMax-M3,longtutor,affective_warmth,240,2.720833333333333,0.9135458238217841,0.1,0.0125,5,0.8164829226231547
MiniMax-M3,longtutor,autonomy_support,240,2.9833333333333334,0.9956851354162563,0.0875,0.04583333333333333,5,0.8640187408441317
MiniMax-M3,longtutor,cognitive_load,240,2.95,0.799478997014097,0.0125,0.0375,5,0.7316226331286239
MiniMax-M3,longtutor,diagnostic_specificity,240,2.75,1.0973452814254347,0.14166666666666666,0.05,5,0.9184008358127115
MiniMax-M3,longtutor,elicitation,240,3.2333333333333334,1.1707072885890628,0.1,0.13333333333333333,5,0.9413069009409225
MiniMax-M3,longtutor,epistemic_caution,240,1.7875,0.8117945655562537,0.44166666666666665,0.0,4,0.6932102153634974
MiniMax-M3,longtutor,help_directness,240,3.183333333333333,0.908142181721685,0.016666666666666666,0.12083333333333333,5,0.7618827479027306
MiniMax-M3,longtutor,personalization,240,3.029166666666667,1.2124284056755223,0.18333333333333332,0.05416666666666667,5,0.8878624321823355
MiniMax-M3,mathdial_hard,affective_warmth,480,2.7270833333333333,0.9845133280233211,0.10208333333333333,0.035416666666666666,5,0.8635517569864501
MiniMax-M3,mathdial_hard,autonomy_support,480,2.654166666666667,1.2914717594882033,0.28958333333333336,0.035416666666666666,5,0.9019416098021557
MiniMax-M3,mathdial_hard,cognitive_load,480,2.06875,0.8325803890115756,0.2604166666666667,0.0020833333333333333,5,0.7469098933900509
MiniMax-M3,mathdial_hard,diagnostic_specificity,480,3.0854166666666667,1.3034392939663726,0.175,0.1375,5,0.9704681676331744
MiniMax-M3,mathdial_hard,elicitation,480,3.0541666666666667,1.7312036195151113,0.3625,0.3333333333333333,5,0.8686695991981993
MiniMax-M3,mathdial_hard,epistemic_caution,480,1.3875,0.6485962406099293,0.7041666666666667,0.0,3,0.4911091649171809
MiniMax-M3,mathdial_hard,help_directness,480,3.2729166666666667,1.400333231671027,0.1125,0.31875,5,0.9355150774516278
MiniMax-M3,mathdial_hard,personalization,480,3.0,0.7187952884282609,0.04791666666666667,0.0125,5,0.6265016960128004
MiniMax-M3,mathdial_standard,affective_warmth,948,2.9335443037974684,0.8524061817408911,0.04852320675105485,0.03164556962025317,5,0.7756147308086064
MiniMax-M3,mathdial_standard,autonomy_support,948,2.792194092827004,1.2100415989496949,0.21518987341772153,0.03059071729957806,5,0.9021467682226417
MiniMax-M3,mathdial_standard,cognitive_load,948,2.023206751054852,0.8200348939503705,0.2795358649789029,0.0010548523206751054,5,0.7359254324874595
MiniMax-M3,mathdial_standard,diagnostic_specificity,948,3.151898734177215,1.3177330706335921,0.16455696202531644,0.16244725738396623,5,0.9757873053436589
MiniMax-M3,mathdial_standard,elicitation,948,3.210970464135021,1.6869460044448497,0.3037974683544304,0.3575949367088608,5,0.8968048053965649
MiniMax-M3,mathdial_standard,epistemic_caution,948,1.5084388185654007,0.7623335326700534,0.6445147679324894,0.0010548523206751054,5,0.5782302016547543
MiniMax-M3,mathdial_standard,help_directness,948,3.00210970464135,1.4246162339820605,0.16455696202531644,0.25316455696202533,5,0.9639338738995546
MiniMax-M3,mathdial_standard,personalization,948,2.8354430379746836,0.6953197318182115,0.05907172995780591,0.008438818565400843,5,0.5984672117707829
MiniMax-M3,socratic,affective_warmth,480,1.0,0.0,1.0,0.0,1,-0.0
MiniMax-M3,socratic,autonomy_support,480,2.533333333333333,0.9325889889025188,0.15,0.010416666666666666,5,0.824884029814966
MiniMax-M3,socratic,cognitive_load,480,2.779166666666667,0.9382959584030804,0.075,0.04583333333333333,5,0.8306040391726327
MiniMax-M3,socratic,diagnostic_specificity,480,1.05,0.26925824035672524,0.9625,0.0,3,0.1141921879718597
MiniMax-M3,socratic,elicitation,480,4.802083333333333,0.44299622991874577,0.0,0.81875,4,0.3293042336572163
MiniMax-M3,socratic,epistemic_caution,480,1.0375,0.25546118426615555,0.9770833333333333,0.0,3,0.07717249518600555
