dimension,judge_left,judge_right,targets,exact_agreement,within_one,spearman,mean_difference_left_minus_right
information_sequencing,MiniMax-M3,MiniMax-M2.7,180,0.5055555555555555,0.9388888888888889,0.5045375455466514,-0.45555555555555555
information_sequencing,MiniMax-M3,glm-5.2,180,0.6666666666666666,0.9666666666666667,0.5443043517458798,-0.16666666666666666
information_sequencing,MiniMax-M3,deepseek-v4-pro,180,0.5444444444444444,0.9222222222222223,0.44452682449832215,-0.22777777777777777
information_sequencing,MiniMax-M2.7,glm-5.2,180,0.5722222222222222,0.9444444444444444,0.4218448544552835,0.28888888888888886
information_sequencing,MiniMax-M2.7,deepseek-v4-pro,180,0.5333333333333333,0.9555555555555556,0.48576458927002963,0.22777777777777777
information_sequencing,glm-5.2,deepseek-v4-pro,180,0.5277777777777778,0.9555555555555556,0.43705855108571623,-0.06111111111111111
next_step_actionability,MiniMax-M3,MiniMax-M2.7,180,0.5055555555555555,0.9222222222222223,0.7465404871993003,-0.3611111111111111
next_step_actionability,MiniMax-M3,glm-5.2,180,0.6277777777777778,0.9444444444444444,0.7761948371811465,-0.022222222222222223
next_step_actionability,MiniMax-M3,deepseek-v4-pro,180,0.37777777777777777,0.8444444444444444,0.6782163790011945,-0.38333333333333336
next_step_actionability,MiniMax-M2.7,glm-5.2,180,0.5944444444444444,0.9111111111111111,0.724196828788005,0.3388888888888889
next_step_actionability,MiniMax-M2.7,deepseek-v4-pro,180,0.5388888888888889,0.9111111111111111,0.6716733300864776,-0.022222222222222223
next_step_actionability,glm-5.2,deepseek-v4-pro,180,0.5555555555555556,0.9333333333333333,0.8056407198173965,-0.3611111111111111
