benchmark,task,arm,model,dimension,raw_mean,centered_mean,z_centered_mean,contexts
mathtutorbench_pedagogy,mathdial_standard,pedagogy,deepseek-v4-pro,information_sequencing,3.9166666666666665,0.06944444444444449,0.25357525810424375,6
mathtutorbench_pedagogy,mathdial_standard,pedagogy,deepseek-v4-pro,next_step_actionability,3.6666666666666665,-0.23611111111111102,-0.5058602136538745,6
mathtutorbench_pedagogy,mathdial_standard,pedagogy,doubao-seed-2.0-pro,information_sequencing,3.9166666666666665,0.06944444444444449,0.25357525810424375,6
mathtutorbench_pedagogy,mathdial_standard,pedagogy,doubao-seed-2.0-pro,next_step_actionability,3.9166666666666665,0.013888888888888987,0.029756483156110486,6
mathtutorbench_pedagogy,mathdial_standard,pedagogy,glm-5.2,information_sequencing,3.9166666666666665,0.06944444444444449,0.2535752581042438,6
mathtutorbench_pedagogy,mathdial_standard,pedagogy,glm-5.2,next_step_actionability,4.083333333333333,0.18055555555555566,0.3868342810294338,6
mathtutorbench_pedagogy,mathdial_standard,pedagogy,minimax-m2.7,information_sequencing,3.8333333333333335,-0.01388888888888884,-0.05071505162084854,6
mathtutorbench_pedagogy,mathdial_standard,pedagogy,minimax-m2.7,next_step_actionability,4.0,0.09722222222222232,0.20829538209277218,6
mathtutorbench_pedagogy,mathdial_standard,pedagogy,minimax-m3,information_sequencing,3.75,-0.09722222222222217,-0.3550053613459408,6
mathtutorbench_pedagogy,mathdial_standard,pedagogy,minimax-m3,next_step_actionability,4.083333333333333,0.18055555555555566,0.3868342810294338,6
mathtutorbench_pedagogy,mathdial_standard,pedagogy,qwen3.5-4b,information_sequencing,3.75,-0.09722222222222217,-0.3550053613459409,6
mathtutorbench_pedagogy,mathdial_standard,pedagogy,qwen3.5-4b,next_step_actionability,3.6666666666666665,-0.23611111111111102,-0.5058602136538745,6
mathtutorbench_pedagogy_hard,mathdial_hard,pedagogy,deepseek-v4-pro,information_sequencing,3.5833333333333335,-0.08333333333333333,-0.13459547551454135,6
mathtutorbench_pedagogy_hard,mathdial_hard,pedagogy,deepseek-v4-pro,next_step_actionability,3.25,-0.1805555555555555,-0.15384515349077757,6
