task,model,dimension,paired_contexts,generic_mean,pedagogy_mean,mean_delta,median_delta,positive_fraction,negative_fraction
mathdial_hard,deepseek-v4-pro,information_sequencing,6,3.9166666666666665,3.5833333333333335,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
mathdial_hard,deepseek-v4-pro,next_step_actionability,6,2.0833333333333335,3.25,1.1666666666666667,0.5,0.8333333333333334,0.0
mathdial_hard,doubao-seed-2.0-pro,information_sequencing,6,3.8333333333333335,3.75,-0.08333333333333333,0.0,0.0,0.16666666666666666
mathdial_hard,doubao-seed-2.0-pro,next_step_actionability,6,2.0833333333333335,4.166666666666667,2.0833333333333335,2.75,0.8333333333333334,0.0
mathdial_hard,glm-5.2,information_sequencing,6,3.8333333333333335,3.9166666666666665,0.08333333333333333,0.0,0.3333333333333333,0.3333333333333333
mathdial_hard,glm-5.2,next_step_actionability,6,3.0,3.6666666666666665,0.6666666666666666,0.75,0.6666666666666666,0.16666666666666666
mathdial_hard,minimax-m2.7,information_sequencing,6,4.083333333333333,3.5833333333333335,-0.5,-0.5,0.0,0.6666666666666666
mathdial_hard,minimax-m2.7,next_step_actionability,6,1.1666666666666667,2.8333333333333335,1.6666666666666667,2.5,0.6666666666666666,0.16666666666666666
mathdial_hard,minimax-m3,information_sequencing,6,4.25,3.75,-0.5,-0.5,0.16666666666666666,0.6666666666666666
mathdial_hard,minimax-m3,next_step_actionability,6,1.5833333333333333,3.1666666666666665,1.5833333333333333,1.5,0.5,0.16666666666666666
mathdial_hard,qwen3.5-4b,information_sequencing,6,3.4166666666666665,3.4166666666666665,0.0,0.0,0.5,0.5
mathdial_hard,qwen3.5-4b,next_step_actionability,6,1.5,3.5,2.0,2.5,0.6666666666666666,0.0
mathdial_standard,deepseek-v4-pro,information_sequencing,6,3.5833333333333335,3.9166666666666665,0.3333333333333333,0.25,0.5,0.16666666666666666
mathdial_standard,deepseek-v4-pro,next_step_actionability,6,3.1666666666666665,3.6666666666666665,0.5,1.0,0.6666666666666666,0.3333333333333333
mathdial_standard,doubao-seed-2.0-pro,information_sequencing,6,3.9166666666666665,3.9166666666666665,0.0,0.0,0.16666666666666666,0.16666666666666666
mathdial_standard,doubao-seed-2.0-pro,next_step_actionability,6,2.0833333333333335,3.9166666666666665,1.8333333333333333,1.75,1.0,0.0
mathdial_standard,glm-5.2,information_sequencing,6,3.6666666666666665,3.9166666666666665,0.25,0.0,0.3333333333333333,0.3333333333333333
mathdial_standard,glm-5.2,next_step_actionability,6,3.3333333333333335,4.083333333333333,0.75,0.25,0.5,0.0
mathdial_standard,minimax-m2.7,information_sequencing,6,4.0,3.8333333333333335,-0.16666666666666666,0.0,0.0,0.16666666666666666
mathdial_standard,minimax-m2.7,next_step_actionability,6,2.0833333333333335,4.0,1.9166666666666667,2.25,0.8333333333333334,0.0
mathdial_standard,minimax-m3,information_sequencing,6,3.75,3.75,0.0,-0.25,0.16666666666666666,0.5
mathdial_standard,minimax-m3,next_step_actionability,6,2.4166666666666665,4.083333333333333,1.6666666666666667,2.0,0.6666666666666666,0.16666666666666666
mathdial_standard,qwen3.5-4b,information_sequencing,6,3.3333333333333335,3.75,0.4166666666666667,0.5,0.5,0.16666666666666666
mathdial_standard,qwen3.5-4b,next_step_actionability,6,2.4166666666666665,3.6666666666666665,1.25,1.75,0.6666666666666666,0.16666666666666666
