dimension,judge_left,judge_right,targets,exact_agreement,within_one,spearman,mean_difference_left_minus_right
instructional_agency,MiniMax-M3,MiniMax-M2.7,180,0.48333333333333334,0.85,0.5666379677249489,0.18333333333333332
instructional_agency,MiniMax-M3,glm-5.2,180,0.5888888888888889,0.9555555555555556,0.6889500481262729,0.13333333333333333
instructional_agency,MiniMax-M3,deepseek-v4-pro,180,0.5,0.9611111111111111,0.6759933404808944,-0.3277777777777778
instructional_agency,MiniMax-M2.7,glm-5.2,180,0.48333333333333334,0.8666666666666667,0.6183645074032816,-0.05
instructional_agency,MiniMax-M2.7,deepseek-v4-pro,180,0.5222222222222223,0.85,0.6338824424657848,-0.5111111111111111
instructional_agency,glm-5.2,deepseek-v4-pro,180,0.5611111111111111,0.9111111111111111,0.7109336357698308,-0.46111111111111114
relational_communion,MiniMax-M3,MiniMax-M2.7,180,0.6055555555555555,0.9944444444444445,0.8448398431129072,-0.2777777777777778
relational_communion,MiniMax-M3,glm-5.2,180,0.6722222222222223,1.0,0.8158940427419213,-0.12777777777777777
relational_communion,MiniMax-M3,deepseek-v4-pro,180,0.6666666666666666,1.0,0.8365058666304681,-0.15555555555555556
relational_communion,MiniMax-M2.7,glm-5.2,180,0.6722222222222223,1.0,0.8596214766711131,0.15
relational_communion,MiniMax-M2.7,deepseek-v4-pro,180,0.6944444444444444,0.9944444444444445,0.8632689500636352,0.12222222222222222
relational_communion,glm-5.2,deepseek-v4-pro,180,0.6888888888888889,0.9944444444444445,0.8401598697377984,-0.027777777777777776
information_structure,MiniMax-M3,MiniMax-M2.7,180,0.6,0.9388888888888889,0.29196982773856994,-0.18888888888888888
information_structure,MiniMax-M3,glm-5.2,180,0.6555555555555556,0.9777777777777777,0.4145601286631583,-0.1
information_structure,MiniMax-M3,deepseek-v4-pro,180,0.6444444444444445,0.9666666666666667,0.37329019774820693,-0.15555555555555556
information_structure,MiniMax-M2.7,glm-5.2,180,0.6222222222222222,0.9611111111111111,0.25937274656755377,0.08888888888888889
information_structure,MiniMax-M2.7,deepseek-v4-pro,180,0.7222222222222222,0.9333333333333333,0.3832362180256262,0.03333333333333333
information_structure,glm-5.2,deepseek-v4-pro,180,0.6222222222222222,0.9777777777777777,0.34385556143869817,-0.05555555555555555
learner_contingency,MiniMax-M3,MiniMax-M2.7,180,0.5944444444444444,0.9611111111111111,0.6671822912618856,-0.06111111111111111
learner_contingency,MiniMax-M3,glm-5.2,180,0.7055555555555556,0.9944444444444445,0.771106072890902,-0.12222222222222222
learner_contingency,MiniMax-M3,deepseek-v4-pro,180,0.6777777777777778,0.9944444444444445,0.7380097678372789,0.03888888888888889
learner_contingency,MiniMax-M2.7,glm-5.2,180,0.6555555555555556,0.9611111111111111,0.7303842500852962,-0.06111111111111111
learner_contingency,MiniMax-M2.7,deepseek-v4-pro,180,0.6555555555555556,0.9055555555555556,0.5958856101796487,0.1
learner_contingency,glm-5.2,deepseek-v4-pro,180,0.6722222222222223,1.0,0.7470928719616424,0.16111111111111112
