benchmark,dimension,contexts,models,partial_eta_squared_model_after_item,bootstrap_ci_low,bootstrap_ci_high
mathtutorbench_pedagogy,information_structure,6,6,0.0860215053763441,0.03508771929824561,0.611856368563685
mathtutorbench_pedagogy,instructional_agency,6,6,0.11339421613394214,0.057950310559006214,0.691358024691358
mathtutorbench_pedagogy,learner_contingency,6,6,0.10256410256410256,0.08878504672897197,0.6214689265536723
mathtutorbench_pedagogy,relational_communion,6,6,0.42056737588652493,0.280787664573396,0.7867872142319423
mathtutorbench_pedagogy_hard,information_structure,6,6,0.12284196547144753,0.08014184397163122,0.6190806878306879
mathtutorbench_pedagogy_hard,instructional_agency,6,6,0.18893387314439947,0.11998803111909036,0.5675928012620326
mathtutorbench_pedagogy_hard,learner_contingency,6,6,0.21014492753623185,0.11111111111111113,0.6414794007490633
mathtutorbench_pedagogy_hard,relational_communion,6,6,0.031531531531531536,0.025386313465783662,0.5545863987251785
mathtutorbench_scaffolding,information_structure,6,6,0.15325077399380807,0.0945017182130584,0.5968364927777298
mathtutorbench_scaffolding,instructional_agency,6,6,0.3940242763772176,0.21602787456445993,0.7269260106788711
mathtutorbench_scaffolding,learner_contingency,6,6,0.43377483443708614,0.3073394495412845,0.7350477087467903
mathtutorbench_scaffolding,relational_communion,6,6,0.4584599797365755,0.3468238646810074,0.7616487455197132
mathtutorbench_scaffolding_hard,information_structure,6,6,0.19415807560137457,0.10392156862745097,0.7092376260849166
mathtutorbench_scaffolding_hard,instructional_agency,6,6,0.37270341207349084,0.15942028985507248,0.752570430009704
mathtutorbench_scaffolding_hard,learner_contingency,6,6,0.3874458874458875,0.3010752688172043,0.7143549280177187
mathtutorbench_scaffolding_hard,relational_communion,6,6,0.315365551425031,0.22361111111111107,0.7207422017393115
mathtutorbench_socratic,information_structure,6,6,0.1492374727668845,0.11538461538461542,0.5030581039755352
mathtutorbench_socratic,instructional_agency,6,6,0.06410256410256408,0.06410256410256408,0.5
mathtutorbench_socratic,learner_contingency,6,6,,,
mathtutorbench_socratic,relational_communion,6,6,,,
